split,episode,initial_demo_id,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,triage_top_prob,triage_entropy,triage_logit_gap,triage_top_scale_mean,triage_support_margin,triage_support_pos_dist,triage_support_neg_dist,positive_triage_action_l2,positive_logp_self,positive_logp_under_triage,positive_logp_margin_vs_triage,triage_logp_self,triage_logp_under_positive,triage_logp_margin_vs_positive,triage_minus_positive_top_prob,triage_minus_positive_entropy,triage_minus_positive_logit_gap,triage_minus_positive_support_margin,positive_success,triage_success,oracle_success
lift606,0,demo_933,0.546202,1.158987,0.880258,0.111778,0.081748,1.997188,2.078937,0.551634,1.120235,0.814353,0.135685,0.046344,1.996485,2.04283,0.092289,9.749636,8.825901,0.923735,9.340651,9.367944,-0.027293,0.005432,-0.038752,-0.065905,-0.035404,1,1,1
lift606,1,demo_952,0.424034,1.306281,0.572647,0.144954,0.203469,1.014231,1.2177,0.674354,0.986301,1.695993,0.170034,0.031586,0.864263,0.895849,0.281761,8.051059,7.123028,0.928031,7.786372,7.181189,0.605183,0.25032,-0.31998,1.123346,-0.171883,1,1,1
lift606,2,demo_1029,0.359524,1.352375,0.384203,0.171747,-0.081949,1.618273,1.536324,0.550759,1.098807,0.670111,0.17378,0.040278,1.546738,1.587015,0.334759,7.398312,6.486286,0.912026,7.873666,4.812673,3.060993,0.191235,-0.253568,0.285908,0.122227,1,0,1
lift606,3,demo_1047,0.572363,1.13243,1.078588,0.102106,0.195403,2.251815,2.447218,0.523111,1.115567,0.611699,0.132174,0.18072,2.243163,2.423883,0.104299,10.494739,8.4138,2.080939,9.103109,9.525645,-0.422536,-0.049252,-0.016863,-0.466889,-0.014683,0,1,1
lift606,4,demo_1084,0.424383,1.305385,0.569037,0.126548,0.483443,0.778535,1.261979,0.486525,1.243034,0.869489,0.147056,0.369804,0.822855,1.192659,0.110957,8.79404,7.86265,0.93139,8.269576,8.177094,0.092482,0.062142,-0.062351,0.300452,-0.113639,1,1,1
lift606,5,demo_1100,0.473643,1.2611,0.785417,0.141671,0.191826,0.929654,1.12148,0.635518,1.05594,1.587808,0.170046,-0.067385,0.878856,0.811471,0.276029,8.04949,7.142982,0.906508,7.816383,7.169691,0.646692,0.161875,-0.20516,0.802391,-0.259211,1,0,1
lift606,6,demo_1112,0.382993,1.277924,0.111074,0.133663,0.249411,1.822852,2.072263,0.484073,1.205477,0.590237,0.13672,0.234136,1.824185,2.05832,0.102366,8.018832,7.702208,0.316624,8.454576,7.557742,0.896834,0.10108,-0.072447,0.479163,-0.015275,1,1,1
lift606,7,demo_1116,0.430169,1.257058,0.333253,0.131496,0.227047,1.479214,1.706262,0.58439,1.106506,1.066648,0.15261,0.228708,1.408435,1.637143,0.152051,8.375534,7.507296,0.868238,8.567934,7.917521,0.650413,0.154221,-0.150552,0.733395,0.001661,1,0,1
lift606,8,demo_1141,0.490539,1.209859,0.58998,0.151211,0.155386,1.197493,1.352879,0.544165,1.184731,1.077191,0.210988,0.035316,1.318379,1.353695,0.484771,7.996978,5.00931,2.987668,7.265419,1.463459,5.80196,0.053626,-0.025128,0.487211,-0.12007,0,1,1
lift606,9,demo_1190,0.423737,1.276265,0.398336,0.164572,1.107325,0.815678,1.923003,0.515608,1.199568,0.791639,0.209282,1.037827,0.945307,1.983134,0.494072,7.79052,4.557885,3.232635,7.352348,0.622464,6.729884,0.091871,-0.076697,0.393303,-0.069498,1,1,1
lift606,10,demo_1204,0.465079,1.269912,0.75548,0.132908,0.423044,0.600519,1.023563,0.592979,1.122217,1.392667,0.159598,0.147047,0.638237,0.785284,0.218196,8.500457,7.706113,0.794344,8.165991,7.991711,0.17428,0.1279,-0.147695,0.637187,-0.275997,1,1,1
lift606,11,demo_1205,0.384977,1.327003,0.392262,0.150914,0.296782,1.064991,1.361773,0.606737,1.099355,1.395916,0.194599,0.066389,1.146912,1.213301,0.35179,8.009086,5.803343,2.205743,7.238447,4.870384,2.368063,0.22176,-0.227648,1.003654,-0.230393,0,1,1
lift606,12,demo_1244,0.501191,1.121028,0.402098,0.147579,0.760087,0.963187,1.723274,0.533053,1.177551,0.84027,0.175694,0.870752,0.813537,1.684289,0.318321,8.803937,6.917856,1.886081,8.55276,5.507364,3.045396,0.031862,0.056523,0.438172,0.110665,1,1,1
