feature,direction,threshold,successes,episodes,switches,fresh_successes,fresh_episodes,fresh_switches,fresh_switched_demos
positive_logp_under_triage,lt,5.928396,16,20,3,11,20,8,"demo_1022,demo_1057,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361"
positive_logp_under_triage,lt,6.269868,16,20,4,11,20,10,"demo_1022,demo_1047,demo_1057,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361,demo_1401"
positive_entropy,lt,1.212422,16,20,6,10,20,7,"demo_453,demo_1022,demo_1209,demo_1230,demo_1265,demo_1351,demo_1401"
positive_logp_margin_vs_triage,gt,1.98351,16,20,6,9,20,13,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1209,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_entropy,lt,1.232623,16,20,7,10,20,8,"demo_453,demo_1022,demo_1209,demo_1230,demo_1265,demo_1351,demo_1361,demo_1401"
positive_logp_margin_vs_triage,gt,1.648598,16,20,7,9,20,14,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1209,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_top_prob,gt,0.483061,16,20,7,10,20,3,"demo_453,demo_1209,demo_1265"
positive_logp_margin_vs_triage,gt,1.389582,16,20,8,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_top_prob,gt,0.474613,16,20,8,10,20,4,"demo_453,demo_1022,demo_1209,demo_1265"
positive_logp_margin_vs_triage,gt,1.214422,16,20,9,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_margin_vs_triage,gt,1.041162,16,20,10,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_margin_vs_triage,gt,0.97646,16,20,11,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_margin_vs_triage,gt,0.929711,16,20,12,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_margin_vs_triage,gt,0.925883,16,20,13,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_margin_vs_triage,gt,0.91788,16,20,14,9,20,16,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1193,demo_1204,demo_1209,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
triage_minus_positive_support_margin,lt,-0.008534,16,20,15,10,20,11,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1193,demo_1204,demo_1222,demo_1265,demo_1361,demo_1401"
triage_minus_positive_support_margin,lt,-0.000362,16,20,16,10,20,11,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1193,demo_1204,demo_1222,demo_1265,demo_1361,demo_1401"
positive_logit_gap,gt,0.979423,15,20,1,12,20,1,demo_1209
positive_logp_self,gt,10.122187,15,20,1,12,20,0,
positive_top_scale_mean,lt,0.106942,15,20,1,12,20,0,
triage_logp_margin_vs_positive,lt,-0.36927,15,20,1,12,20,1,demo_1023
triage_logp_under_positive,gt,9.446794,15,20,1,12,20,0,
triage_minus_positive_logit_gap,lt,-0.364104,15,20,1,12,20,0,
positive_logit_gap,gt,0.873239,15,20,2,11,20,2,"demo_453,demo_1209"
positive_logp_self,gt,9.61155,15,20,2,10,20,6,"demo_453,demo_1023,demo_1047,demo_1057,demo_1204,demo_1209"
positive_logp_under_triage,gt,8.29807,15,20,2,12,20,0,
positive_logp_under_triage,lt,5.406327,15,20,2,11,20,7,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361"
positive_top_prob,gt,0.561214,15,20,2,12,20,1,demo_1209
positive_top_scale_mean,lt,0.115686,15,20,2,12,20,0,
triage_logp_margin_vs_positive,lt,-0.171648,15,20,2,12,20,1,demo_1023
triage_logp_self,gt,8.952731,15,20,2,12,20,0,
triage_logp_under_positive,gt,9.100467,15,20,2,12,20,0,
triage_minus_positive_logit_gap,gt,0.903023,15,20,2,12,20,0,
triage_minus_positive_logit_gap,lt,-0.255716,15,20,2,12,20,0,
triage_minus_positive_top_prob,gt,0.206498,15,20,2,13,20,2,"demo_1193,demo_1222"
triage_top_scale_mean,lt,0.13393,15,20,2,12,20,0,
positive_logit_gap,gt,0.859952,15,20,3,11,20,2,"demo_453,demo_1209"
positive_logp_margin_vs_triage,gt,2.601419,15,20,3,10,20,8,"demo_1047,demo_1057,demo_1204,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_self,gt,9.337533,15,20,3,10,20,8,"demo_453,demo_1023,demo_1047,demo_1057,demo_1162,demo_1204,demo_1209,demo_1377"
positive_logp_under_triage,gt,8.146801,15,20,3,12,20,0,
positive_top_prob,gt,0.548134,15,20,3,12,20,1,demo_1209
triage_logp_margin_vs_positive,lt,-0.00988,15,20,3,12,20,1,demo_1023
triage_logp_self,gt,8.728274,15,20,3,12,20,0,
triage_logp_self,lt,7.308884,15,20,3,12,20,7,"demo_1022,demo_1057,demo_1222,demo_1230,demo_1276,demo_1351,demo_1361"
triage_logp_under_positive,gt,8.71272,15,20,3,12,20,1,demo_1023
triage_top_scale_mean,lt,0.136203,15,20,3,12,20,0,
positive_entropy,lt,1.145709,15,20,4,12,20,4,"demo_1022,demo_1209,demo_1230,demo_1351"
positive_logit_gap,gt,0.819551,15,20,4,11,20,2,"demo_453,demo_1209"
positive_logp_self,gt,9.186829,15,20,4,9,20,12,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1209,demo_1265,demo_1332,demo_1377,demo_1401"
positive_logp_self,lt,8.013959,15,20,4,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_logp_under_triage,gt,8.000018,15,20,4,12,20,0,
positive_top_prob,gt,0.523697,15,20,4,11,20,2,"demo_453,demo_1209"
positive_top_scale_mean,gt,0.149247,15,20,4,11,20,7,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361"
positive_triage_action_l2,lt,0.107628,15,20,4,12,20,0,
triage_logp_margin_vs_positive,lt,0.050007,15,20,4,12,20,1,demo_1023
triage_logp_self,gt,8.627089,15,20,4,12,20,0,
triage_logp_self,lt,7.56936,15,20,4,10,20,11,"demo_1022,demo_1047,demo_1057,demo_1204,demo_1222,demo_1230,demo_1276,demo_1314,demo_1332,demo_1351,demo_1361"
triage_logp_under_positive,gt,8.384771,15,20,4,12,20,1,demo_1023
triage_top_scale_mean,gt,0.190906,15,20,4,12,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1351,demo_1361"
triage_top_scale_mean,lt,0.140381,15,20,4,12,20,0,
positive_entropy,lt,1.184423,15,20,5,12,20,5,"demo_1022,demo_1209,demo_1230,demo_1351,demo_1401"
positive_logp_margin_vs_triage,gt,2.143341,15,20,5,9,20,9,"demo_453,demo_1047,demo_1057,demo_1204,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_logp_self,gt,9.071026,15,20,5,9,20,12,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1209,demo_1265,demo_1332,demo_1377,demo_1401"
positive_logp_self,lt,8.034161,15,20,5,11,20,6,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1361"
positive_logp_under_triage,gt,7.875712,15,20,5,12,20,1,demo_1023
positive_logp_under_triage,lt,6.577904,15,20,5,10,20,12,"demo_1022,demo_1047,demo_1057,demo_1204,demo_1222,demo_1230,demo_1276,demo_1314,demo_1332,demo_1351,demo_1361,demo_1401"
positive_top_prob,gt,0.497865,15,20,5,11,20,2,"demo_453,demo_1209"
positive_top_scale_mean,gt,0.146266,15,20,5,11,20,7,"demo_1022,demo_1222,demo_1230,demo_1276,demo_1314,demo_1351,demo_1361"
positive_triage_action_l2,gt,0.343274,15,20,5,10,20,13,"demo_1022,demo_1047,demo_1057,demo_1193,demo_1204,demo_1230,demo_1265,demo_1276,demo_1314,demo_1332,demo_1351,demo_1377,demo_1401"
positive_triage_action_l2,lt,0.115804,15,20,5,12,20,0,
triage_logp_margin_vs_positive,lt,0.133381,15,20,5,12,20,2,"demo_1023,demo_1162"
triage_logp_self,gt,8.583958,15,20,5,12,20,0,
triage_logp_self,lt,7.801378,15,20,5,10,20,15,"demo_1022,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1222,demo_1230,demo_1276,demo_1314,demo_1332,demo_1351,demo_1361,demo_1377,demo_1401"
triage_logp_under_positive,gt,8.093587,15,20,5,12,20,1,demo_1023
triage_top_scale_mean,gt,0.181454,15,20,5,12,20,8,"demo_1022,demo_1047,demo_1222,demo_1230,demo_1276,demo_1351,demo_1361,demo_1401"
triage_top_scale_mean,lt,0.145549,15,20,5,12,20,0,
positive_logp_self,gt,8.94015,15,20,6,9,20,12,"demo_453,demo_1023,demo_1047,demo_1057,demo_1112,demo_1162,demo_1204,demo_1209,demo_1265,demo_1332,demo_1377,demo_1401"
positive_logp_under_triage,gt,7.826568,15,20,6,12,20,1,demo_1023
positive_top_prob,gt,0.492539,15,20,6,11,20,2,"demo_453,demo_1209"
positive_top_scale_mean,gt,0.143313,15,20,6,11,20,9,"demo_1022,demo_1162,demo_1222,demo_1230,demo_1276,demo_1314,demo_1332,demo_1351,demo_1361"
