task,split_seed,below_count,below_fraction,candidate_g_choice,candidate_h_choice,candidate_i_choice,note
can_paired,606,0,0.0,candidate_e_gate,candidate_e_gate,candidate_e_gate,
can_paired,707,1,0.025,triage_bc,candidate_e_gate,positive_only_nn,I differs from H
lift_mg,606,2,0.0125,triage_bc,triage_bc,triage_bc,
lift_mg,707,4,0.025,triage_bc,triage_bc,triage_bc,
