initial_demo_id,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_top_scale_max,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,triage_top_prob,triage_entropy,triage_logit_gap,triage_top_scale_mean,triage_top_scale_max,triage_support_margin,triage_support_pos_dist,triage_support_neg_dist,weighted_top_prob,weighted_entropy,weighted_logit_gap,weighted_top_scale_mean,weighted_top_scale_max,weighted_support_margin,weighted_support_pos_dist,weighted_support_neg_dist,positive_triage_action_l2,positive_logp_under_triage,triage_logp_under_positive,positive_weighted_action_l2,positive_logp_under_weighted,weighted_logp_under_positive,triage_weighted_action_l2,triage_logp_under_weighted,weighted_logp_under_triage,triage_minus_positive_top_prob,triage_minus_positive_entropy,triage_minus_positive_support_margin,triage_minus_positive_logit_gap,positive_success,triage_success,weighted_success,oracle_success
demo_933,0.546202,1.158987,0.880258,0.111778,0.285941,0.081748,1.997188,2.078937,0.551634,1.120235,0.814353,0.135685,0.44826,0.046344,1.996485,2.04283,0.352205,1.393544,0.157498,0.37861,0.677012,0.544571,2.416919,2.961489,0.092289,8.825901,9.367944,1.302896,6.061347,-3.13297,1.361007,6.552549,0.837916,0.005432,-0.038752,-0.035404,-0.065905,1,1,1,1
demo_952,0.424034,1.306281,0.572647,0.144954,0.386361,0.203469,1.014231,1.2177,0.674354,0.986301,1.695993,0.170034,0.427901,0.031586,0.864263,0.895849,0.322583,1.432857,0.043235,0.19548,0.596948,-0.26771,0.978953,0.711244,0.281761,7.123028,7.181189,0.556038,4.132897,5.552915,0.286808,6.720672,7.148972,0.25032,-0.31998,-0.171883,1.123346,1,1,1,1
demo_1029,0.359524,1.352375,0.384203,0.171747,0.479221,-0.081949,1.618273,1.536324,0.550759,1.098807,0.670111,0.17378,0.42525,0.040278,1.546738,1.587015,0.338452,1.41856,0.147991,0.223626,0.609816,-0.216662,1.428113,1.211451,0.334759,6.486286,4.812673,0.517216,4.952275,5.993218,0.366111,5.894836,6.921772,0.191235,-0.253568,0.122227,0.285908,1,0,0,1
demo_1047,0.572363,1.13243,1.078588,0.102106,0.230632,0.195403,2.251815,2.447218,0.523111,1.115567,0.611699,0.132174,0.424809,0.18072,2.243163,2.423883,0.342895,1.424915,0.167957,0.36571,0.636328,0.486485,2.795841,3.282325,0.104299,8.4138,9.525645,1.170932,5.509227,-2.055145,1.209427,5.915576,1.766845,-0.049252,-0.016863,-0.014683,-0.466889,0,1,0,1
demo_1084,0.424383,1.305385,0.569037,0.126548,0.34834,0.483443,0.778535,1.261979,0.486525,1.243034,0.869489,0.147056,0.419273,0.369804,0.822855,1.192659,0.428371,1.380319,0.668683,0.647312,0.720585,-0.280138,2.756803,2.476665,0.110957,7.86265,8.177094,2.171051,4.844353,-16.473198,2.185243,5.116138,-50.711884,0.062142,-0.062351,-0.113639,0.300452,1,1,0,1
demo_1100,0.473643,1.2611,0.785417,0.141671,0.375421,0.191826,0.929654,1.12148,0.635518,1.05594,1.587808,0.170046,0.430282,-0.067385,0.878856,0.811471,0.318575,1.41693,0.081304,0.195105,0.583665,-0.313596,1.028575,0.714979,0.276029,7.142982,7.169691,0.572082,4.30912,4.52539,0.31642,6.46581,7.205415,0.161875,-0.20516,-0.259211,0.802391,1,0,1,1
demo_1112,0.382993,1.277924,0.111074,0.133663,0.339774,0.249411,1.822852,2.072263,0.484073,1.205477,0.590237,0.13672,0.400025,0.234136,1.824185,2.05832,0.321052,1.420072,0.073585,0.641914,0.713022,-0.105325,3.102869,2.997544,0.102366,7.702208,7.557742,2.097124,4.329407,-17.877438,2.159198,5.187589,-38.603302,0.10108,-0.072447,-0.015275,0.479163,1,1,1,1
demo_1116,0.430169,1.257058,0.333253,0.131496,0.355456,0.227047,1.479214,1.706262,0.58439,1.106506,1.066648,0.15261,0.46841,0.228708,1.408435,1.637143,0.389547,1.400038,0.356613,0.39518,0.699808,0.736242,1.955746,2.691988,0.152051,7.507296,7.917521,1.385363,5.649867,-4.226208,1.420325,6.802977,0.904271,0.154221,-0.150552,0.001661,0.733395,1,0,0,1
demo_1141,0.490539,1.209859,0.58998,0.151211,0.423557,0.155386,1.197493,1.352879,0.544165,1.184731,1.077191,0.210988,0.632493,0.035316,1.318379,1.353695,0.596128,1.179896,1.245393,0.656635,0.711969,-0.591613,2.537274,1.945661,0.484771,5.00931,1.463459,2.023762,3.22298,-19.318127,1.908859,4.211771,-62.47649,0.053626,-0.025128,-0.12007,0.487211,0,1,1,1
demo_1190,0.423737,1.276265,0.398336,0.164572,0.473784,1.107325,0.815678,1.923003,0.515608,1.199568,0.791639,0.209282,0.631208,1.037827,0.945307,1.983134,0.492027,1.322297,0.752526,0.650065,0.716689,-0.624294,2.606977,1.982683,0.494072,4.557885,0.622464,1.924282,3.803693,-24.204802,1.805204,4.538912,-51.311646,0.091871,-0.076697,-0.069498,0.393303,1,1,0,1
demo_1204,0.465079,1.269912,0.75548,0.132908,0.361021,0.423044,0.600519,1.023563,0.592979,1.122217,1.392667,0.159598,0.440802,0.147047,0.638237,0.785284,0.307563,1.422366,0.030227,0.197432,0.607667,-0.1107,0.946603,0.835903,0.218196,7.706113,7.991711,0.538847,5.705134,4.668486,0.361169,6.818218,7.311684,0.1279,-0.147695,-0.275997,0.637187,1,1,1,1
demo_1205,0.384977,1.327003,0.392262,0.150914,0.405346,0.296782,1.064991,1.361773,0.606737,1.099355,1.395916,0.194599,0.529906,0.066389,1.146912,1.213301,0.478169,1.344393,0.823591,0.654255,0.729109,-0.571416,2.708848,2.137432,0.35179,5.803343,4.870384,2.014199,3.607084,-13.823796,1.952452,4.883346,-51.62785,0.22176,-0.227648,-0.230393,1.003654,0,1,0,1
demo_1244,0.501191,1.121028,0.402098,0.147579,0.458392,0.760087,0.963187,1.723274,0.533053,1.177551,0.84027,0.175694,0.471972,0.870752,0.813537,1.684289,0.379785,1.38168,0.286429,0.203056,0.583606,0.760416,0.812265,1.57268,0.318321,6.917856,5.507364,0.436122,5.928415,5.861946,0.233228,7.394608,8.241959,0.031862,0.056523,0.110665,0.438172,1,1,0,1
demo_1283,0.58325,0.973858,0.603174,0.138201,0.441511,-0.067871,1.489286,1.421415,0.5316,1.191577,0.937608,0.163919,0.482586,-0.186967,1.49184,1.304872,0.380333,1.373699,0.378965,0.202893,0.580114,-0.14336,1.44566,1.3023,0.244334,7.790486,6.528485,0.52089,4.913773,3.818232,0.293156,7.658876,8.263473,-0.05165,0.217719,-0.119096,0.334434,0,0,0,0
demo_1294,0.452414,1.260407,0.515849,0.120471,0.332222,0.172733,1.816658,1.989391,0.514499,1.174125,0.683064,0.144043,0.441218,0.145586,1.83413,1.979716,0.390294,1.389356,0.364666,0.651186,0.730518,-0.2064,3.156218,2.949818,0.082096,8.111262,8.83299,2.234293,5.023288,-21.049358,2.247033,5.152648,-50.663517,0.062085,-0.086282,-0.027147,0.167215,0,0,0,0
demo_1296,0.550065,1.072671,0.59253,0.129219,0.403327,0.051498,0.918827,0.970324,0.490448,1.231282,0.71063,0.187214,0.49211,-0.247335,1.198155,0.95082,0.414033,1.371259,0.393447,0.659708,0.731104,-0.465983,2.48727,2.021287,0.415624,6.053449,0.962635,2.052605,5.114764,-20.875689,1.926616,6.11095,-53.321899,-0.059617,0.158611,-0.298833,0.1181,1,1,0,1
demo_1300,0.473301,1.265109,0.853684,0.124316,0.351688,0.360182,0.688356,1.048537,0.560537,1.165848,1.243669,0.149421,0.455837,0.129237,0.745823,0.87506,0.31532,1.417684,0.128783,0.659633,0.738626,-0.232962,2.616287,2.383325,0.190766,8.182341,8.592449,2.12485,6.284508,-15.190998,2.187829,6.804145,-41.523148,0.087236,-0.099261,-0.230945,0.389985,1,1,0,1
