analysis,observed_policy_mode,candidate_mode_from_support,candidate_reason,plateau_score_threshold,mean_plateau_demo_count,best_prefix_k_at_purity_floor,best_prefix_purity,top20_purity,top20_hidden_positive,top80_purity,top80_hidden_positive,wide_prefix_k,wide_prefix_purity,wide_prefix_hidden_positive,policy_note,analysis_dir
can_paired_80p80b,hard_coverage,hard_support_candidate,there is a sufficiently pure high-score prefix for support selection,0.95,0.0,80,0.900,1.000,20.0,0.900,72.0,80,0.900,72.0,coverage-aware score-gap is the best fixed-20k policy row,results/robomimic_selector_score_analysis_balanced_80p80b
can_paired_40p80b,hard_mass_capped,hard_support_candidate,there is a sufficiently pure high-score prefix for support selection,0.95,0.0,50,0.727,0.983,19.7,0.500,40.0,80,0.500,40.0,mass-capped support is best at fixed 15k/20k,results/robomimic_selector_score_analysis_pos40_bad80
can_paired_20p80b,hard_precision,hard_support_candidate,there is a sufficiently pure high-score prefix for support selection,0.95,0.0,20,0.750,0.750,15.0,0.250,20.0,80,0.250,20.0,top20 precision branch is best at fixed 20k,results/robomimic_selector_score_analysis_stress_p20_b80
lift_mg_sparse,hard_threshold,hard_support_candidate,there is a sufficiently pure high-score prefix for support selection,0.95,85.3,320,0.722,0.983,19.7,0.967,77.3,320,0.722,231.0,pos-min hard support is best at fixed 20k,results/robomimic_lift_mg_selector_score_analysis
can_mg_sparse,soft_weighting,soft_weighting_candidate,large high-score plateau but the clean hard prefix is much smaller than the plateau,0.95,652.3,160,0.721,0.750,15.0,0.792,63.3,320,0.642,205.3,weighted sampler is the best matched three-seed fixed-20k control but remains diagnostic,results/robomimic_selector_score_analysis_can_mg
