seed,threshold_name,threshold,score_gap,effective_min,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,score_gap_posx,,0.016127049922943115,40,score_gap_posx,45,36,9,0.8,0.5591181516647339,0.7316301955117119,0.9641896486282349
0,adaptive_posmass,53.52372487550409,0.016127049922943115,40,adaptive_posmass_coverage_gap,45,36,9,0.8,0.5591181516647339,0.7316301955117119,0.9641896486282349
0,adaptive_masscap,53.52372487550409,0.016127049922943115,40,adaptive_masscap_coverage_gap,45,36,9,0.8,0.5591181516647339,0.7316301955117119,0.9641896486282349
0,top_posx2,,,20,top_posx2,20,19,1,0.95,0.7515835165977478,0.8474736034870147,0.9641896486282349
0,top_posx3,,,30,top_posx3,30,27,3,0.9,0.6716934442520142,0.7961393674214681,0.9641896486282349
0,top_posx4,,,40,top_posx4,40,35,5,0.875,0.5812279582023621,0.7524805456399918,0.9641896486282349
0,neg_max,0.26816093921661377,,,neg_max,87,40,47,0.45977011494252873,0.26875820755958557,0.580154484715955,0.9641896486282349
0,mid_mean,0.5030378080904484,,,mid_mean,51,37,14,0.7254901960784313,0.5054209232330322,0.7075222590390373,0.9641896486282349
0,mid_minpos_maxneg,0.5131371021270752,,,mid_minpos_maxneg,50,37,13,0.74,0.5205581784248352,0.7115642857551575,0.9641896486282349
0,pos_p10,0.7958694338798523,,,pos_p10,13,13,0,1.0,0.7965273261070251,0.8908577057031485,0.9641896486282349
0,pos_min,0.7581132650375366,,,pos_min,19,18,1,0.9473684210526315,0.7622436881065369,0.8525204501653972,0.9641896486282349
