unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,score_family,selector,seed_count,selected_demo_count_mean,selected_demo_count_std,selected_hidden_positive_demos_mean,selected_hidden_positive_demos_std,selected_hidden_bad_demos_mean,selected_hidden_bad_demos_std,selected_hidden_positive_purity_mean,selected_hidden_positive_purity_std,selected_hidden_positive_recall_mean,selected_hidden_positive_recall_std
5,80,0.9411764705882353,bad_aware_pos_vs_neg,adaptive_masscap,3,20.0,0.0,5.0,0.0,15.0,0.0,0.25,0.0,1.0,0.0
5,80,0.9411764705882353,bad_aware_pos_vs_neg,coverage_gap,3,46.333333333333336,3.6817870057290873,5.0,0.0,41.333333333333336,3.6817870057290873,0.1085941623026022,0.008576944992001215,1.0,0.0
5,80,0.9411764705882353,bad_aware_pos_vs_neg,top20,3,20.0,0.0,5.0,0.0,15.0,0.0,0.25,0.0,1.0,0.0
5,80,0.9411764705882353,bad_aware_pos_vs_neg,top40,3,40.0,0.0,5.0,0.0,35.0,0.0,0.125,0.0,1.0,0.0
5,80,0.9411764705882353,bad_aware_pos_vs_neg,top80,3,80.0,0.0,5.0,0.0,75.0,0.0,0.0625,0.0,1.0,0.0
5,80,0.9411764705882353,positive_only_nn,top20,3,20.0,0.0,4.0,0.0,16.0,0.0,0.20000000000000004,2.7755575615628914e-17,0.8000000000000002,1.1102230246251565e-16
5,80,0.9411764705882353,positive_only_nn,top40,3,40.0,0.0,5.0,0.0,35.0,0.0,0.125,0.0,1.0,0.0
5,80,0.9411764705882353,positive_only_nn,top80,3,80.0,0.0,5.0,0.0,75.0,0.0,0.0625,0.0,1.0,0.0
5,80,0.9411764705882353,positive_vs_unlabeled,top20,3,20.0,0.0,1.0,0.0,19.0,0.0,0.05000000000000001,6.938893903907228e-18,0.20000000000000004,2.7755575615628914e-17
5,80,0.9411764705882353,positive_vs_unlabeled,top40,3,40.0,0.0,3.3333333333333335,0.4714045207910317,36.666666666666664,0.4714045207910317,0.08333333333333333,0.011785113019775795,0.6666666666666666,0.09428090415820636
5,80,0.9411764705882353,positive_vs_unlabeled,top80,3,80.0,0.0,5.0,0.0,75.0,0.0,0.0625,0.0,1.0,0.0
10,80,0.8888888888888888,bad_aware_pos_vs_neg,adaptive_masscap,3,20.0,0.0,10.0,0.0,10.0,0.0,0.5,0.0,1.0,0.0
10,80,0.8888888888888888,bad_aware_pos_vs_neg,coverage_gap,3,50.0,5.354126134736337,10.0,0.0,40.0,5.354126134736337,0.20240266649295377,0.022489081833288682,1.0,0.0
10,80,0.8888888888888888,bad_aware_pos_vs_neg,top20,3,20.0,0.0,10.0,0.0,10.0,0.0,0.5,0.0,1.0,0.0
10,80,0.8888888888888888,bad_aware_pos_vs_neg,top40,3,40.0,0.0,10.0,0.0,30.0,0.0,0.25,0.0,1.0,0.0
10,80,0.8888888888888888,bad_aware_pos_vs_neg,top80,3,80.0,0.0,10.0,0.0,70.0,0.0,0.125,0.0,1.0,0.0
10,80,0.8888888888888888,positive_only_nn,top20,3,20.0,0.0,9.0,0.0,11.0,0.0,0.45,0.0,0.9,0.0
10,80,0.8888888888888888,positive_only_nn,top40,3,40.0,0.0,10.0,0.0,30.0,0.0,0.25,0.0,1.0,0.0
10,80,0.8888888888888888,positive_only_nn,top80,3,80.0,0.0,10.0,0.0,70.0,0.0,0.125,0.0,1.0,0.0
10,80,0.8888888888888888,positive_vs_unlabeled,top20,3,20.0,0.0,4.333333333333333,0.4714045207910317,15.666666666666666,0.4714045207910317,0.21666666666666667,0.02357022603955158,0.43333333333333335,0.04714045207910316
10,80,0.8888888888888888,positive_vs_unlabeled,top40,3,40.0,0.0,6.666666666666667,0.9428090415820634,33.333333333333336,0.9428090415820634,0.16666666666666666,0.02357022603955159,0.6666666666666666,0.09428090415820636
10,80,0.8888888888888888,positive_vs_unlabeled,top80,3,80.0,0.0,10.0,0.0,70.0,0.0,0.125,0.0,1.0,0.0
20,80,0.8,bad_aware_pos_vs_neg,adaptive_masscap,3,20.0,0.0,15.0,0.816496580927726,5.0,0.816496580927726,0.75,0.04082482904638634,0.75,0.04082482904638634
20,80,0.8,bad_aware_pos_vs_neg,coverage_gap,3,52.333333333333336,3.299831645537222,20.0,0.0,32.333333333333336,3.299831645537222,0.3837226714585205,0.02471366793066638,1.0,0.0
20,80,0.8,bad_aware_pos_vs_neg,top20,3,20.0,0.0,15.0,0.816496580927726,5.0,0.816496580927726,0.75,0.04082482904638634,0.75,0.04082482904638634
20,80,0.8,bad_aware_pos_vs_neg,top40,3,40.0,0.0,19.666666666666668,0.4714045207910317,20.333333333333332,0.4714045207910317,0.4916666666666667,0.011785113019775804,0.9833333333333334,0.023570226039551608
20,80,0.8,bad_aware_pos_vs_neg,top80,3,80.0,0.0,20.0,0.0,60.0,0.0,0.25,0.0,1.0,0.0
