unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,seed,score_family,selector,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_hidden_positive_recall,selected_score_min,selected_score_mean,selected_score_max,estimated_positive_mass,effective_min,score_gap,labeled_positive_score_mean,labeled_negative_score_mean,adaptive_masscap_mode
5,80,0.9411764705882353,0,bad_aware_pos_vs_neg,adaptive_masscap,20,5,15,0.25,1.0,0.49203988909721375,0.6073628827929497,0.8206998705863953,22.8485886571196,40,0.025609701871871948,0.8273676633834839,0.17511873990297316,precision_top20
5,80,0.9411764705882353,0,bad_aware_pos_vs_neg,coverage_gap,46,5,41,0.10869565217391304,1.0,0.28086790442466736,0.48346968513468036,0.8206998705863953,22.8485886571196,40,0.025609701871871948,0.8273676633834839,0.17511873990297316,
5,80,0.9411764705882353,0,bad_aware_pos_vs_neg,top20,20,5,15,0.25,1.0,0.49203988909721375,0.6073628827929497,0.8206998705863953,22.8485886571196,40,0.025609701871871948,0.8273676633834839,0.17511873990297316,
5,80,0.9411764705882353,0,bad_aware_pos_vs_neg,top40,40,5,35,0.125,1.0,0.3318808376789093,0.5096318483352661,0.8206998705863953,22.8485886571196,40,0.025609701871871948,0.8273676633834839,0.17511873990297316,
5,80,0.9411764705882353,0,bad_aware_pos_vs_neg,top80,80,5,75,0.0625,1.0,0.1077791079878807,0.3575547427870333,0.8206998705863953,22.8485886571196,40,0.025609701871871948,0.8273676633834839,0.17511873990297316,
5,80,0.9411764705882353,0,positive_only_nn,top20,20,4,16,0.2,0.8,-0.4022885262966156,-0.32333225980401037,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,0,positive_only_nn,top40,40,5,35,0.125,1.0,-0.47139930725097656,-0.38168653286993504,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,0,positive_only_nn,top80,80,5,75,0.0625,1.0,-0.8898233771324158,-0.4920671919360757,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,0,positive_vs_unlabeled,top20,20,1,19,0.05,0.2,0.20601069927215576,0.28590222001075744,0.4327832758426666,,,,,,
5,80,0.9411764705882353,0,positive_vs_unlabeled,top40,40,3,37,0.075,0.6,0.10858809947967529,0.21753150168806315,0.4327832758426666,,,,,,
5,80,0.9411764705882353,0,positive_vs_unlabeled,top80,80,5,75,0.0625,1.0,0.0069907596334815025,0.12888814941979945,0.4327832758426666,,,,,,
5,80,0.9411764705882353,1,bad_aware_pos_vs_neg,adaptive_masscap,20,5,15,0.25,1.0,0.4929129183292389,0.629342570900917,0.840088963508606,24.638021050813048,40,0.04131181538105011,0.8264117956161499,0.16162276789546012,precision_top20
5,80,0.9411764705882353,1,bad_aware_pos_vs_neg,coverage_gap,51,5,46,0.09803921568627451,1.0,0.24563300609588623,0.47945623012150035,0.840088963508606,24.638021050813048,40,0.04131181538105011,0.8264117956161499,0.16162276789546012,
5,80,0.9411764705882353,1,bad_aware_pos_vs_neg,top20,20,5,15,0.25,1.0,0.4929129183292389,0.629342570900917,0.840088963508606,24.638021050813048,40,0.04131181538105011,0.8264117956161499,0.16162276789546012,
5,80,0.9411764705882353,1,bad_aware_pos_vs_neg,top40,40,5,35,0.125,1.0,0.36408498883247375,0.5295974172651767,0.840088963508606,24.638021050813048,40,0.04131181538105011,0.8264117956161499,0.16162276789546012,
5,80,0.9411764705882353,1,bad_aware_pos_vs_neg,top80,80,5,75,0.0625,1.0,0.10100390017032623,0.35898040141910315,0.840088963508606,24.638021050813048,40,0.04131181538105011,0.8264117956161499,0.16162276789546012,
5,80,0.9411764705882353,1,positive_only_nn,top20,20,4,16,0.2,0.8,-0.4022885262966156,-0.32333225980401037,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,1,positive_only_nn,top40,40,5,35,0.125,1.0,-0.47139930725097656,-0.38168653286993504,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,1,positive_only_nn,top80,80,5,75,0.0625,1.0,-0.8898233771324158,-0.4920671919360757,-0.15580275654792786,,,,,,
5,80,0.9411764705882353,1,positive_vs_unlabeled,top20,20,1,19,0.05,0.2,0.2464352399110794,0.32481714710593224,0.46535640954971313,,,,,,
5,80,0.9411764705882353,1,positive_vs_unlabeled,top40,40,4,36,0.1,0.8,0.09602417051792145,0.23688301164656878,0.46535640954971313,,,,,,
5,80,0.9411764705882353,1,positive_vs_unlabeled,top80,80,5,75,0.0625,1.0,0.0077689290046691895,0.1398983896127902,0.46535640954971313,,,,,,
5,80,0.9411764705882353,2,bad_aware_pos_vs_neg,adaptive_masscap,20,5,15,0.25,1.0,0.4819105863571167,0.5777724668383598,0.8039944171905518,21.61034689494728,40,0.029351353645324707,0.827269172668457,0.17145098969340325,precision_top20
