retrieval_mode,negative_loss_scope,negative_loss_mass,hidden_positive_negative_loss_mass,hidden_bad_negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_action_distance_p25,selected_negative_action_distance_p50,selected_negative_action_distance_p75,selected_negative_state_action_distance_mean
nearest_state,selected,5467,5228,239,3.582973,2.700877,1.084316,2.323514,4.084975,4.667459
nearest_state_action,selected,5467,5228,239,3.713656,2.017471,0.779694,1.523098,3.293163,4.343880
action_conflict,selected,5467,5228,239,3.902395,3.699191,2.193544,3.626713,4.992011,5.564590
