split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_count,eval_episodes,success_rate,avg_return,avg_len,checkpoint
303,prefix_bad_aware_state_top80,prefix_bad_aware_state_top80,200,100,90,80,77,3,0.963,0.963,0.037,50,50,1.0,1.0,114.56,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split303/prefix_bad_aware_state_top80/train/prefix_can_s303_prefix_bad_aware_state_top80_seed0_bc_rnn_e200/20260625070341/models/model_epoch_200.pth
303,prefix_state_action_nn_top80,prefix_state_action_nn_top80,200,100,90,80,13,67,0.163,0.163,0.838,3,50,0.06,0.06,382.64,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split303/prefix_state_action_nn_top80/train/prefix_can_s303_prefix_state_action_nn_top80_seed0_bc_rnn_e200/20260625070751/models/model_epoch_200.pth
