seed,bad_frac,method,success_rate,trap_rate,avg_return,avg_len
0,0.9,bc_pos_unlabeled,0.16666666666666666,0.8333333333333334,-0.834,16.733333333333334
0,0.9,bc_all,0.36666666666666664,0.6333333333333333,-0.4823333333333332,21.566666666666666
0,0.9,weighted_bc_state_action,0.0,0.0,-0.7000000000000003,70.0
0,0.9,oracle_good_bc,1.0,0.0,0.619,38.1
0,0.9,tri_signal_top_demo_bc_frac0p05,1.0,0.0,0.6023333333333334,39.766666666666666
0,0.9,tri_signal_top_demo_bc_frac0p1,1.0,0.0,0.5976666666666668,40.233333333333334
0,0.9,tri_signal_posterior_bc_prior0p05,1.0,0.0,0.6236666666666666,37.63333333333333
0,0.9,tri_signal_posterior_bc_prior0p1,1.0,0.0,0.5886666666666666,41.13333333333333
0,0.9,tri_signal_rerank,0.0,0.0,-0.7000000000000003,70.0
1,0.9,bc_positive_prefix,0.0,0.0,-0.7000000000000003,70.0
1,0.9,bc_pos_unlabeled,0.23333333333333334,0.7666666666666667,-0.709,17.566666666666666
1,0.9,bc_all,0.26666666666666666,0.7333333333333333,-0.6586666666666666,19.2
1,0.9,weighted_bc_state_action,0.0,0.0,-0.7000000000000003,70.0
1,0.9,oracle_good_bc,1.0,0.0,0.5993333333333334,40.06666666666667
1,0.9,tri_signal_top_demo_bc_frac0p05,1.0,0.0,0.6279999999999998,37.2
1,0.9,tri_signal_top_demo_bc_frac0p1,1.0,0.0,0.5753333333333331,42.46666666666667
1,0.9,tri_signal_posterior_bc_prior0p05,1.0,0.0,0.6146666666666666,38.53333333333333
1,0.9,tri_signal_posterior_bc_prior0p1,1.0,0.0,0.6166666666666666,38.333333333333336
1,0.9,tri_signal_rerank,0.0,0.0,-0.7000000000000003,70.0
2,0.9,bc_positive_prefix,0.0,0.0,-0.7000000000000003,70.0
2,0.9,bc_pos_unlabeled,0.3333333333333333,0.6666666666666666,-0.5473333333333332,21.4
2,0.9,bc_all,0.2,0.8,-0.7656666666666665,16.566666666666666
2,0.9,weighted_bc_state_action,0.0,0.0,-0.7000000000000003,70.0
2,0.9,oracle_good_bc,1.0,0.0,0.6020000000000001,39.8
2,0.9,tri_signal_top_demo_bc_frac0p05,1.0,0.0,0.6013333333333333,39.86666666666667
2,0.9,tri_signal_top_demo_bc_frac0p1,1.0,0.0,0.599,40.1
2,0.9,tri_signal_posterior_bc_prior0p05,0.0,0.0,-0.7000000000000003,70.0
2,0.9,tri_signal_posterior_bc_prior0p1,1.0,0.0,0.5563333333333331,44.36666666666667
2,0.9,tri_signal_rerank,0.0,0.0,-0.7000000000000003,70.0
0,0.95,bc_positive_prefix,0.0,0.0,-0.7000000000000003,70.0
0,0.95,bc_pos_unlabeled,0.13333333333333333,0.8666666666666667,-0.8836666666666667,15.033333333333333
0,0.95,bc_all,0.3,0.7,-0.6003333333333333,20.033333333333335
0,0.95,weighted_bc_state_action,0.0,0.0,-0.7000000000000003,70.0
0,0.95,oracle_good_bc,1.0,0.0,0.5709999999999998,42.9
0,0.95,tri_signal_top_demo_bc_frac0p05,1.0,0.0,0.6146666666666665,38.53333333333333
0,0.95,tri_signal_top_demo_bc_frac0p1,0.7666666666666667,0.23333333333333334,0.20099999999999987,33.233333333333334
0,0.95,tri_signal_posterior_bc_prior0p05,1.0,0.0,0.592,40.8
0,0.95,tri_signal_posterior_bc_prior0p1,0.6666666666666666,0.3333333333333333,0.042333333333333285,29.1
0,0.95,tri_signal_rerank,0.0,0.0,-0.7000000000000003,70.0
