analysis,observed_mode,policy_20k,policy_source,estimated_positive_mass,count_ge_pos_min,labeled_positive_p10,current_abs_plateau_branch,router_v2_branch,router_v2_training_rule,router_v2_reason,assignment_status,assigned_policy_20k,abstained_policy_20k,pos_min_audit_purity,adaptive_masscap_audit_purity
can_paired_80p80b,hard,0.900,results/robomimic_official_bc_rnn_gap_min40_3seed_summary/REPORT.md,82.4,32.7,0.748,hard_adaptive_masscap,hard_adaptive_masscap,adaptive_masscap,no large ambiguous pool; use calibrated hard support with mass cap,assigned,0.900,,1.000,0.968
can_paired_40p80b,hard,0.733,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md,49.4,17.0,0.748,hard_adaptive_masscap,hard_adaptive_masscap,adaptive_masscap,no large ambiguous pool; use calibrated hard support with mass cap,assigned,0.733,,1.000,0.728
can_paired_20p80b,hard,0.667,results/robomimic_official_bc_rnn_top20_stress_p20_b80_3seed_summary/REPORT.md,34.1,6.7,0.749,hard_adaptive_masscap,hard_adaptive_masscap,adaptive_masscap,no large ambiguous pool; use calibrated hard support with mass cap,assigned,0.667,,1.000,0.750
lift_mg_sparse,hard,0.667,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md,346.9,237.3,0.887,hard_pos_min,hard_pos_min,pos_min_calibrated_threshold,labeled positives are high-scoring and the pos-min pool is large enough for hard support,assigned,0.667,,0.864,0.823
can_mg_sparse,soft,0.333,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md,1947.9,1025.7,0.943,soft_weighted,stress_abstain,do_not_train_main_branch,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,abstained,,0.333,0.475,0.511
can_paired_40p80b_shuffle42,hard_validation,0.633,results/robomimic_official_bc_rnn_shuffle42_adaptive_masscap_3seed_summary/REPORT.md,60.2,26.0,0.853,hard_adaptive_masscap,hard_adaptive_masscap,adaptive_masscap,no large ambiguous pool; use calibrated hard support with mass cap,assigned,0.633,,0.881,0.621
lift_mg_sparse_shuffle42,hard_validation,0.600,results/robomimic_lift_mg_shuffle42_posmin_3seed_summary/REPORT.md,461.7,190.7,0.922,hard_pos_min,hard_pos_min,pos_min_calibrated_threshold,labeled positives are high-scoring and the pos-min pool is large enough for hard support,assigned,0.600,,0.928,0.934
can_mg_sparse_shuffle42,fragile,0.100,results/robomimic_can_mg_shuffle42_router_branch_seed0_summary/REPORT.md,1466.3,515.7,0.957,hard_pos_min,stress_abstain,do_not_train_main_branch,large calibrated mass and large pos-min pool indicate ambiguous MG-style coverage/contamination,abstained,,0.100,0.651,0.718
