split_seed,method_id,method_role,endpoint_success,success_count,eval_episodes,train_demo_count,train_positive_count,train_bad_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,checkpoint,metrics_path,episode_metrics_path
33,all_train_positive_oracle,oracle_control,0.98,49,50,90,90,0,,,,,,,/home/eston/tri-piql/results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/train/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0_official_bc_rnn/20260624160147/models/model_epoch_200.pth,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_all_train_positive_oracle_policy0/eval/episode_metrics.csv
33,positive_nn_risk_union_top40,union_candidate,0.78,39,50,57,49,8,47,39,8,0.830,0.975,0.100,/home/eston/tri-piql/results/final_paper/ablations/v02_union_endpoint_200ep_can40/split33/positive_nn_risk_union_top40/train/v02union200_can40_s33_positive_nn_risk_union_top40_seed0_bc_rnn_e200/20260625081842/models/model_epoch_200.pth,results/final_paper/ablations/v02_union_endpoint_200ep_can40/split33/positive_nn_risk_union_top40/eval_50ep/metrics.csv,results/final_paper/ablations/v02_union_endpoint_200ep_can40/split33/positive_nn_risk_union_top40/eval_50ep/episode_metrics.csv
33,triage_bc,v01_method,0.7,35,50,57,44,13,,,,,,,/home/eston/tri-piql/results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/train/can_paired_pos40_bad80_split33_triage_bc_policy0_official_bc_rnn/20260624115249/models/model_epoch_200.pth,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_triage_bc_policy0/eval/episode_metrics.csv
33,weighted_bc,strong_baseline,0.64,32,50,130,50,80,,,,,,,/home/eston/tri-piql/results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/train/can_paired_pos40_bad80_split33_weighted_bc_policy0_official_bc_rnn/20260624115943/models/model_epoch_200.pth,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/eval/episode_metrics.csv
33,positive_only_nn,strong_baseline,0.56,28,50,50,43,7,,,,,,,/home/eston/tri-piql/results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/train/can_paired_pos40_bad80_split33_positive_only_nn_policy0_official_bc_rnn/20260624122404/models/model_epoch_200.pth,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/eval/episode_metrics.csv
33,bc_all_mixed,mixed_log_baseline,0.56,28,50,180,90,90,,,,,,,/home/eston/tri-piql/results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/train/can_paired_pos40_bad80_split33_bc_all_mixed_policy0_official_bc_rnn/20260624125827/models/model_epoch_200.pth,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/eval/metrics.csv,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/eval/episode_metrics.csv
