seed,threshold_name,threshold,score_gap,effective_min,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,score_gap_posx,,0.002180814743041992,40,score_gap_posx,79,79,0,1.0,0.9758546948432922,0.9899783994578109,0.9984444379806519
0,adaptive_posmass,278.45067015994556,0.002180814743041992,40,adaptive_posmass_coverage_gap,79,79,0,1.0,0.9758546948432922,0.9899783994578109,0.9984444379806519
0,adaptive_masscap,278.45067015994556,0.002180814743041992,40,adaptive_masscap_coverage_gap,79,79,0,1.0,0.9758546948432922,0.9899783994578109,0.9984444379806519
0,top_posx2,,,20,top_posx2,20,20,0,1.0,0.9952284693717957,0.9967882305383682,0.9984444379806519
0,top_posx3,,,30,top_posx3,30,30,0,1.0,0.9931512475013733,0.9958949565887452,0.9984444379806519
0,top_posx4,,,40,top_posx4,40,40,0,1.0,0.9905431866645813,0.9947922036051751,0.9984444379806519
0,neg_max,0.053399182856082916,,,neg_max,673,259,414,0.3848439821693908,0.053657349199056625,0.4140226791210107,0.9984444379806519
0,mid_mean,0.500470090075396,,,mid_mean,235,219,16,0.9319148936170213,0.5029827952384949,0.8629125929893331,0.9984444379806519
0,mid_minpos_maxneg,0.4967128224670887,,,mid_minpos_maxneg,235,219,16,0.9319148936170213,0.5029827952384949,0.8629125929893331,0.9984444379806519
0,pos_p10,0.968686830997467,,,pos_p10,85,85,0,1.0,0.9699652194976807,0.9887394722770242,0.9984444379806519
0,pos_min,0.9400264620780945,,,pos_min,102,102,0,1.0,0.9454105496406555,0.9829617586790347,0.9984444379806519
