method,checkpoint_step,success_rate,avg_return,avg_len
window4_gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step5,5,0.0,0.0,1.0
window4_gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step10,10,0.0,0.0,1.0
