split,method,num_runs,rollout_success_20k,valid_positive_ll,labeled_positive_ll,valid_contrastive_gap,labeled_contrastive_gap,valid_negative_rejection,labeled_negative_rejection
can_mg_original,allpositive,3,0.200,-39995254.667,-24283013.044,147031693.600,148679415.667,187026948.267,172962428.711
can_mg_original,alltrain,3,0.100,-41332625.533,-34379478.178,33560461.133,33430999.111,74893086.667,67810477.289
can_mg_original,posp10,3,0.167,-45557884.178,-26431146.155,101496491.067,133741201.889,147054375.245,160172348.044
can_mg_original,weighted,3,0.333,-40054130.867,-29495366.533,39934926.244,57581755.378,79989057.111,87077121.911
can_mg_shuffle42,hard_posmin,1,0.100,-42532609.667,-22915293.000,99066174.733,170285632.867,141598784.400,193200925.867
can_mg_shuffle42,soft_weighted,1,0.100,-38082416.600,-27205224.467,35150932.600,64918503.800,73233349.200,92123728.267
