seed,train_demos,selected_unlabeled_demos,hidden_positive_demos,hidden_bad_demos,hidden_positive_purity,success_5k,success_10k,success_15k,success_20k,best_success
0,212,202,187,15,0.926,0.200,0.400,0.300,0.400,0.400
1,205,195,180,15,0.923,0.200,0.600,0.600,0.800,0.800
2,211,201,188,13,0.935,0.000,0.200,0.300,0.600,0.600
mean,209.3,199.3,185.0,14.3,0.928,0.133,0.400,0.400,0.600,0.600
std,3.8,3.8,4.4,1.2,0.006,0.115,0.200,0.173,0.200,0.200
