split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_count,eval_episodes,success_rate,avg_return,avg_len,checkpoint
202,prefix_bad_aware_state_top80,prefix_bad_aware_state_top80,200,100,90,80,68,12,0.85,0.85,0.15,43,50,0.86,0.86,150.92,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split202/prefix_bad_aware_state_top80/train/prefix_can_s202_prefix_bad_aware_state_top80_seed0_bc_rnn_e200/20260625061722/models/model_epoch_200.pth
202,prefix_state_action_nn_top80,prefix_state_action_nn_top80,200,100,90,80,13,67,0.163,0.163,0.838,2,50,0.04,0.04,387.72,/home/eston/tri-piql/results/final_paper/ablations/can_prefix_positive_endpoint_200ep/split202/prefix_state_action_nn_top80/train/prefix_can_s202_prefix_state_action_nn_top80_seed0_bc_rnn_e200/20260625062142/models/model_epoch_200.pth
