analysis,analysis_dir,observed_mode,policy_20k,policy_source,labeled_positive_count,labeled_negative_count,labeled_positive_p10,labeled_positive_mean,labeled_negative_mean,count_ge_0p90,count_ge_0p95,count_ge_0p98,count_ge_0p99,count_ge_pos_min,count_ge_pos_p10,count_ge_pos_p50,count_ge_neg_max,estimated_positive_mass,unlabeled_count,soft_floor,threshold_floor,pos_min_selected,pos_min_hidden_positive,pos_min_hidden_bad,pos_min_purity,pos_min_rule,pos_p10_selected,pos_p10_hidden_positive,pos_p10_hidden_bad,pos_p10_purity,pos_p10_rule,adaptive_masscap_selected,adaptive_masscap_hidden_positive,adaptive_masscap_hidden_bad,adaptive_masscap_purity,adaptive_masscap_rule,current_abs_plateau_branch,mass_only_branch,large_posmin_branch,stress_abstain_branch
can_paired_80p80b,results/robomimic_selector_score_analysis_balanced_80p80b,hard,0.900,results/robomimic_official_bc_rnn_gap_min40_3seed_summary/REPORT.md,10.0,10.0,0.748,0.819,0.180,1.3,0.0,0.0,0.0,32.7,31.7,14.7,120.3,82.4,160.0,400.0,40.0,32.7,32.7,0.0,1.000,pos_min,31.7,31.7,0.0,1.000,pos_p10,61.3,59.0,2.3,0.968,adaptive_masscap_coverage_gap,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap
can_paired_40p80b,results/robomimic_selector_score_analysis_pos40_bad80,hard,0.733,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md,10.0,10.0,0.748,0.822,0.176,0.0,0.0,0.0,0.0,17.0,16.3,7.0,80.0,49.4,120.0,400.0,40.0,17.0,17.0,0.0,1.000,pos_min,16.3,16.3,0.0,1.000,pos_p10,50.0,36.3,13.7,0.728,adaptive_masscap_top_estimated_mass,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap
can_paired_20p80b,results/robomimic_selector_score_analysis_stress_p20_b80,hard,0.667,results/robomimic_official_bc_rnn_top20_stress_p20_b80_3seed_summary/REPORT.md,10.0,10.0,0.749,0.824,0.173,0.0,0.0,0.0,0.0,6.7,6.7,3.3,60.0,34.1,100.0,400.0,40.0,6.7,6.7,0.0,1.000,pos_min,6.7,6.7,0.0,1.000,pos_p10,20.0,15.0,5.0,0.750,adaptive_masscap_precision_top_posx2,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap,hard_adaptive_masscap
lift_mg_sparse,results/robomimic_lift_mg_selector_score_analysis,hard,0.667,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md,10.0,10.0,0.887,0.929,0.072,107.7,85.3,39.7,3.7,237.3,119.3,77.7,432.0,346.9,1420.0,400.0,40.0,237.3,205.0,32.3,0.864,pos_min,119.3,115.7,3.7,0.969,pos_p10,260.0,213.7,46.3,0.823,adaptive_masscap_coverage_gap,hard_pos_min,hard_pos_min,hard_pos_min,hard_pos_min
can_mg_sparse,results/robomimic_selector_score_analysis_can_mg,soft,0.333,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md,10.0,10.0,0.943,0.966,0.033,920.0,652.3,391.3,238.7,1025.7,699.0,462.0,2930.7,1947.9,3840.0,400.0,40.0,1025.7,486.7,539.0,0.475,pos_min,699.0,378.7,320.3,0.542,pos_p10,870.7,435.0,435.7,0.511,adaptive_masscap_coverage_gap,soft_weighted,soft_weighted,soft_weighted,stress_abstain
can_paired_40p80b_shuffle42,results/robomimic_selector_score_analysis_pos40_bad80_shuffle42,hard_validation,0.633,results/robomimic_official_bc_rnn_shuffle42_adaptive_masscap_3seed_summary/REPORT.md,10.0,10.0,0.853,0.918,0.080,11.0,3.0,0.0,0.0,26.0,15.0,4.7,109.3,60.2,120.0,400.0,40.0,26.0,22.7,3.3,0.881,pos_min,15.0,15.0,0.0,1.000,pos_p10,63.3,39.3,24.0,0.621,adaptive_masscap_coverage_gap,hard_adaptive_masscap,hard_pos_min,hard_adaptive_masscap,hard_adaptive_masscap
lift_mg_sparse_shuffle42,results/robomimic_lift_mg_selector_score_analysis_shuffle42,hard_validation,0.600,results/robomimic_lift_mg_shuffle42_posmin_3seed_summary/REPORT.md,10.0,10.0,0.922,0.973,0.026,193.7,159.3,94.3,57.7,190.7,182.3,79.7,1028.0,461.7,1420.0,400.0,40.0,190.7,177.0,13.7,0.928,pos_min,182.3,170.0,12.3,0.932,pos_p10,57.0,53.3,3.7,0.934,adaptive_masscap_coverage_gap,hard_pos_min,hard_pos_min,hard_pos_min,hard_pos_min
can_mg_sparse_shuffle42,results/robomimic_selector_score_analysis_can_mg_shuffle42,fragile,0.100,results/robomimic_can_mg_shuffle42_router_branch_seed0_summary/REPORT.md,10.0,10.0,0.957,0.968,0.031,536.3,312.7,125.0,32.0,515.7,278.0,190.3,2676.0,1466.3,3840.0,400.0,40.0,515.7,335.7,180.0,0.651,pos_min,278.0,192.3,85.7,0.692,pos_p10,68.7,49.3,19.3,0.718,adaptive_masscap_coverage_gap,hard_pos_min,soft_weighted,hard_pos_min,stress_abstain
