seed,selected_unlabeled_demos,hidden_positive_demos,hidden_bad_demos,hidden_positive_purity,success_5k,success_10k,success_15k,success_20k,best_success
0,66,40,26,0.606,0.300,0.700,0.700,0.700,0.700
1,63,40,23,0.635,0.100,0.800,0.800,0.600,0.800
2,61,38,23,0.623,0.100,0.800,0.700,0.600,0.800
mean,63.3,39.3,24.0,0.621,0.167,0.767,0.733,0.633,0.767
std,2.5,1.2,1.7,0.014,0.115,0.058,0.058,0.058,0.058
