m_min,lambda_risk,risk_feature,train_demo_count,labeled_positive_count,hidden_positive_demo_count,hidden_bad_demo_count,hidden_positive_transition_count,hidden_bad_transition_count,labeled_positive_mass,hidden_positive_mass,hidden_bad_mass,hidden_bad_unweighted_transition_fraction,hidden_bad_weighted_mass_fraction,hidden_positive_mean_weight,hidden_bad_mean_weight,all_transition_weight_mean,all_transition_weight_min,all_transition_weight_max,transition_effective_sample_size
0.030000,1.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2665.794079,1824.856854,0.620016,0.406368,0.612123,0.256805,0.445874,0.018908,1.000000,8598.713189
0.030000,1.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2187.830708,1374.362905,0.620016,0.385819,0.502372,0.193409,0.372064,0.011859,1.000000,7903.745500
0.030000,1.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2408.541332,1582.078500,0.620016,0.396449,0.553052,0.222640,0.406123,0.016450,1.000000,8291.302655
0.030000,2.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2407.805225,1586.112815,0.620016,0.397132,0.552883,0.223208,0.406385,0.009495,1.000000,8212.910698
0.030000,2.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1642.071680,891.451884,0.620016,0.351862,0.377054,0.125451,0.290287,0.004688,1.000000,6561.917638
0.030000,2.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1966.950718,1184.794243,0.620016,0.375917,0.451653,0.166732,0.339434,0.009020,1.000000,7481.526461
0.030000,4.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1980.860689,1241.968495,0.620016,0.385366,0.454847,0.174777,0.345085,0.002069,1.000000,7397.699728
0.030000,4.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,970.609591,380.820158,0.620016,0.281791,0.222872,0.053591,0.196314,0.000733,1.000000,4167.823221
0.030000,4.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1327.237218,679.672222,0.620016,0.338666,0.304762,0.095648,0.248423,0.002119,1.000000,5706.149272
0.050000,1.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2665.794079,1847.859396,0.620016,0.409393,0.612123,0.260042,0.447703,0.023340,1.000000,8665.612326
0.050000,1.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2187.830708,1391.305086,0.620016,0.388727,0.502372,0.195793,0.373411,0.019765,1.000000,7958.602484
0.050000,1.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2408.541332,1601.801502,0.620016,0.399418,0.553052,0.225415,0.407691,0.023479,1.000000,8352.351664
0.050000,2.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2407.805225,1605.715260,0.620016,0.400077,0.552883,0.225966,0.407943,0.010895,1.000000,8272.913761
0.050000,2.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1642.071680,902.015636,0.620016,0.354554,0.377054,0.126937,0.291127,0.007813,1.000000,6598.838448
0.050000,2.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1966.950718,1199.134383,0.620016,0.378744,0.451653,0.168750,0.340574,0.011025,1.000000,7529.923756
0.050000,4.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1980.860689,1256.652199,0.620016,0.388154,0.454847,0.176844,0.346253,0.002070,1.000000,7445.674920
0.050000,4.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,970.609591,384.981580,0.620016,0.283995,0.222872,0.054177,0.196645,0.001221,1.000000,4181.726456
0.050000,4.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1327.237218,687.392862,0.620016,0.341201,0.304762,0.096734,0.249037,0.002431,1.000000,5733.732587
0.100000,1.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2665.794079,1921.054521,0.620016,0.418818,0.612123,0.270343,0.453522,0.039272,1.000000,8869.364697
0.100000,1.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2187.830708,1445.479663,0.620016,0.397841,0.502372,0.203417,0.377718,0.039530,1.000000,8128.136979
0.100000,1.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2408.541332,1664.708392,0.620016,0.408693,0.553052,0.234268,0.412692,0.043493,1.000000,8539.636825
0.100000,2.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,2407.805225,1668.139189,0.620016,0.409264,0.552883,0.234751,0.412906,0.014724,1.000000,8456.482860
0.100000,2.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1642.071680,935.941042,0.620016,0.363047,0.377054,0.131711,0.293824,0.015626,1.000000,6714.905598
0.100000,2.000000,combined,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1966.950718,1244.978878,0.620016,0.387611,0.451653,0.175201,0.344219,0.018060,1.000000,7680.071113
0.100000,4.000000,bad_neighbor_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,1980.860689,1303.580878,0.620016,0.396896,0.454847,0.183448,0.349983,0.002070,1.000000,7593.735775
0.100000,4.000000,bad_neighbor_state_action,130.000000,10.000000,40.000000,80.000000,4355.000000,7106.000000,1118.000000,970.609591,398.452938,0.620016,0.291041,0.222872,0.056073,0.197715,0.002442,1.000000,4226.428238
