split_seed,candidate_id,candidate_tag,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,config_path,train_output_dir,eval_output_dir,train_filter_key
202,state_action_positive_nn_top40,sapn40,50,40,0,40,0.000,0.000,0.500,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/sapn40/setup/config.json,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/sapn40/train,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/sapn40/eval_smoke,lift_hn200_s202_sapn40_seed0_train
202,bad_aware_proxy_top40,bap40,50,40,38,2,0.950,0.950,0.025,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/bap40/setup/config.json,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/bap40/train,results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/bap40/eval_smoke,lift_hn200_s202_bap40_seed0_train
