setting_label,selected_method,selected_success,selected_episodes,selected_rate,best_baseline_success,best_baseline_episodes,best_baseline_rate,margin,winning_splits,tied_splits,losing_splits,best_baseline_methods
Can 40p/80b,positive_nn_risk_union_top40,197,250,0.788,192,250,0.768,+0.020,4,0,1,"weighted_bc,positive_only_nn,positive_only_nn,positive_only_nn,positive_only_nn"
Lift MG,weighted_bc,143,250,0.572,125,250,0.500,+0.072,4,0,1,"positive_only_nn,positive_only_nn,positive_only_nn,positive_only_nn,positive_only_nn"
