unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,seed,score_family,selector,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_hidden_positive_recall,selected_score_min,selected_score_mean,selected_score_max,estimated_positive_mass,effective_min,score_gap,labeled_positive_score_mean,labeled_negative_score_mean,adaptive_masscap_mode
40,80,0.6666666666666666,0,bad_aware_pos_vs_neg,adaptive_masscap,40,40,0,1.0,1.0,0.5120582580566406,0.5294251531362534,0.545340895652771,51.12769073700472,40,0.012945055961608887,0.531690490245819,0.45435221791267394,coverage_gap
40,80,0.6666666666666666,0,bad_aware_pos_vs_neg,coverage_gap,40,40,0,1.0,1.0,0.5120582580566406,0.5294251531362534,0.545340895652771,51.12769073700472,40,0.012945055961608887,0.531690490245819,0.45435221791267394,
40,80,0.6666666666666666,0,bad_aware_pos_vs_neg,top20,20,20,0,1.0,0.5,0.5294491648674011,0.5372226387262344,0.545340895652771,51.12769073700472,40,0.012945055961608887,0.531690490245819,0.45435221791267394,
40,80,0.6666666666666666,0,bad_aware_pos_vs_neg,top40,40,40,0,1.0,1.0,0.5120582580566406,0.5294251531362534,0.545340895652771,51.12769073700472,40,0.012945055961608887,0.531690490245819,0.45435221791267394,
40,80,0.6666666666666666,0,bad_aware_pos_vs_neg,top80,80,40,40,0.5,1.0,0.4681432545185089,0.5030426986515522,0.545340895652771,51.12769073700472,40,0.012945055961608887,0.531690490245819,0.45435221791267394,
40,80,0.6666666666666666,0,positive_only_nn,top20,20,20,0,1.0,0.5,-0.2161317765712738,-0.15110397338867188,-0.08061140030622482,,,,,,
40,80,0.6666666666666666,0,positive_only_nn,top40,40,31,9,0.775,0.775,-0.3367440700531006,-0.2168174970895052,-0.08061140030622482,,,,,,
40,80,0.6666666666666666,0,positive_only_nn,top80,80,37,43,0.4625,0.925,-0.49846115708351135,-0.31924673821777105,-0.08061140030622482,,,,,,
40,80,0.6666666666666666,0,positive_vs_unlabeled,top20,20,20,0,1.0,0.5,0.5127394795417786,0.5328292071819305,0.5568017363548279,,,,,,
40,80,0.6666666666666666,0,positive_vs_unlabeled,top40,40,31,9,0.775,0.775,0.4940691590309143,0.5167676992714405,0.5568017363548279,,,,,,
40,80,0.6666666666666666,0,positive_vs_unlabeled,top80,80,40,40,0.5,1.0,0.47065049409866333,0.4995727505534887,0.5568017363548279,,,,,,
