seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,20,top_20,20,20,0,1.0,0.9845443964004517,0.9878022640943527,0.994234025478363
0,40,top_40,40,39,1,0.975,0.9802923798561096,0.984952861070633,0.994234025478363
0,80,top_80,80,77,3,0.9625,0.9585068821907043,0.9789786279201508,0.994234025478363
0,120,top_120,120,116,4,0.9666666666666667,0.8878709673881531,0.958764732380708,0.994234025478363
0,160,top_160,160,154,6,0.9625,0.8206539154052734,0.9324109084904194,0.994234025478363
0,240,top_240,240,207,33,0.8625,0.6287046670913696,0.8663996331393718,0.994234025478363
0,320,top_320,320,231,89,0.721875,0.46296942234039307,0.7846002550795674,0.994234025478363
1,20,top_20,20,20,0,1.0,0.9854841828346252,0.9885251551866532,0.9947450757026672
1,40,top_40,40,39,1,0.975,0.9806256890296936,0.9856629818677902,0.9947450757026672
1,80,top_80,80,78,2,0.975,0.9584647417068481,0.9792614340782165,0.9947450757026672
1,120,top_120,120,116,4,0.9666666666666667,0.8880059719085693,0.9605037659406662,0.9947450757026672
1,160,top_160,160,151,9,0.94375,0.8219289779663086,0.9347470734268427,0.9947450757026672
1,240,top_240,240,204,36,0.85,0.668074905872345,0.876061017314593,0.9947450757026672
1,320,top_320,320,232,88,0.725,0.49363404512405396,0.7996740064583718,0.9947450757026672
2,20,top_20,20,19,1,0.95,0.985461950302124,0.987870067358017,0.9944073557853699
2,40,top_40,40,39,1,0.975,0.978110134601593,0.9845637395977974,0.9944073557853699
2,80,top_80,80,77,3,0.9625,0.9540798664093018,0.9771632000803947,0.9944073557853699
2,120,top_120,120,117,3,0.975,0.8829809427261353,0.956475219130516,0.9944073557853699
2,160,top_160,160,154,6,0.9625,0.8127443194389343,0.9286919735372067,0.9944073557853699
2,240,top_240,240,206,34,0.8583333333333333,0.657094419002533,0.8648077552517255,0.9944073557853699
2,320,top_320,320,230,90,0.71875,0.4759204089641571,0.7870176597498357,0.9944073557853699
