seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,20,top_20,20,15,5,0.75,0.9985566139221191,0.9989051163196564,0.9992043972015381
0,40,top_40,40,33,7,0.825,0.9979041814804077,0.9985683426260948,0.9992043972015381
0,80,top_80,80,67,13,0.8375,0.9966472387313843,0.9978846222162246,0.9992043972015381
0,120,top_120,120,89,31,0.7416666666666667,0.9951249361038208,0.9972433865070343,0.9992043972015381
0,160,top_160,160,113,47,0.70625,0.993955671787262,0.9965859949588776,0.9992043972015381
0,240,top_240,240,157,83,0.6541666666666667,0.9911283254623413,0.9952623315155507,0.9992043972015381
0,320,top_320,320,194,126,0.60625,0.9871568083763123,0.9937163388356567,0.9992043972015381
0,480,top_480,480,278,202,0.5791666666666667,0.9740549921989441,0.9896181933581829,0.9992043972015381
0,640,top_640,640,347,293,0.5421875,0.9553703665733337,0.9835371454246342,0.9992043972015381
0,800,top_800,800,403,397,0.50375,0.9310540556907654,0.9756002368032932,0.9992043972015381
0,1000,top_1000,1000,476,524,0.476,0.8844527006149292,0.9626099383831024,0.9992043972015381
0,1200,top_1200,1200,519,681,0.4325,0.8238939046859741,0.944641154607137,0.9992043972015381
0,1600,top_1600,1600,611,989,0.381875,0.689370334148407,0.8982638539373875,0.9992043972015381
1,20,top_20,20,14,6,0.7,0.9982743263244629,0.9988069593906402,0.9994710087776184
1,40,top_40,40,31,9,0.775,0.9972438812255859,0.9983041971921921,0.9994710087776184
1,80,top_80,80,58,22,0.725,0.9954888820648193,0.9972513280808926,0.9994710087776184
1,120,top_120,120,90,30,0.75,0.9940308928489685,0.9964057644208272,0.9994710087776184
1,160,top_160,160,113,47,0.70625,0.9924294948577881,0.9955913007259369,0.9994710087776184
1,240,top_240,240,162,78,0.675,0.9887856245040894,0.9939167444904645,0.9994710087776184
1,320,top_320,320,209,111,0.653125,0.9838771820068359,0.9919991418719292,0.9994710087776184
1,480,top_480,480,287,193,0.5979166666666667,0.9698660373687744,0.9871746989587943,0.9994710087776184
1,640,top_640,640,355,285,0.5546875,0.9493257403373718,0.9803080799058079,0.9994710087776184
1,800,top_800,800,413,387,0.51625,0.921670138835907,0.9714427646994591,0.9994710087776184
1,1000,top_1000,1000,485,515,0.485,0.8743434548377991,0.9568812881112099,0.9994710087776184
1,1200,top_1200,1200,530,670,0.44166666666666665,0.8169743418693542,0.9383653769393762,0.9994710087776184
1,1600,top_1600,1600,615,985,0.384375,0.6731058955192566,0.8916966350749135,0.9994710087776184
2,20,top_20,20,16,4,0.8,0.9986637234687805,0.999066424369812,0.999515175819397
2,40,top_40,40,34,6,0.85,0.9979665279388428,0.998684772849083,0.999515175819397
2,80,top_80,80,65,15,0.8125,0.9963169097900391,0.9979523740708828,0.999515175819397
2,120,top_120,120,95,25,0.7916666666666666,0.9948710203170776,0.9971726894378662,0.999515175819397
2,160,top_160,160,120,40,0.75,0.9934616088867188,0.9964199051260948,0.999515175819397
2,240,top_240,240,169,71,0.7041666666666667,0.9899715185165405,0.9948400179545085,0.999515175819397
2,320,top_320,320,213,107,0.665625,0.9856284856796265,0.9930695682764054,0.999515175819397
2,480,top_480,480,289,191,0.6020833333333333,0.9693750143051147,0.988091529160738,0.999515175819397
2,640,top_640,640,357,283,0.5578125,0.9505075812339783,0.9809497186914087,0.999515175819397
2,800,top_800,800,415,385,0.51875,0.9264111518859863,0.9723824262619019,0.999515175819397
2,1000,top_1000,1000,482,518,0.482,0.8791162967681885,0.9585490497946739,0.999515175819397
2,1200,top_1200,1200,527,673,0.43916666666666665,0.8281406760215759,0.9411850971976916,0.999515175819397
2,1600,top_1600,1600,616,984,0.385,0.6883757710456848,0.8977690996229648,0.999515175819397
