seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,10,0,1.0,0.8424481749534607,0.9352395951747894,0.9855411052703857
0,15,top_15,15,15,0,1.0,0.7801505923271179,0.89257865746816,0.9855411052703857
0,20,top_20,20,18,2,0.9,0.696646511554718,0.8495394885540009,0.9855411052703857
0,25,top_25,25,19,6,0.76,0.6430919170379639,0.8146734166145325,0.9855411052703857
0,30,top_30,30,20,10,0.6666666666666666,0.6219615936279297,0.7837941646575928,0.9855411052703857
0,35,top_35,35,23,12,0.6571428571428571,0.6056672930717468,0.7592074223927089,0.9855411052703857
0,40,top_40,40,25,15,0.625,0.5769303441047668,0.7374276578426361,0.9855411052703857
0,45,top_45,45,28,17,0.6222222222222222,0.56376051902771,0.7188546776771545,0.9855411052703857
0,50,top_50,50,30,20,0.6,0.5286669731140137,0.7013552927970886,0.9855411052703857
0,60,top_60,60,33,27,0.55,0.4414953291416168,0.6672576198975245,0.9855411052703857
0,80,top_80,80,40,40,0.5,0.2450467348098755,0.5872124962508678,0.9855411052703857
