split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_rate,success_count,eval_episodes,avg_len,checkpoint
202,hybrid_rank_fusion_badaware_heavy_top40,hrfbh40,200,100,50,40,39,1,0.975,0.975,0.013,0.82,41,50,174.5,/home/eston/tri-piql/results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split202/hrfbh40/train/cov_can200_s202_hrfbh40_seed0_bc_rnn_e200/20260625042104/models/model_epoch_200.pth
202,state_action_positive_nn_top40,sapn40,200,100,50,40,34,6,0.850,0.850,0.075,0.58,29,50,238.46,/home/eston/tri-piql/results/final_paper/ablations/can_coverage_shift_endpoint_200ep/split202/sapn40/train/cov_can200_s202_sapn40_seed0_bc_rnn_e200/20260625041643/models/model_epoch_200.pth
