rule,method,mean_selected_success,mean_rollout_best_success
train_support_ll,masscap,0.7333333333333334,0.7666666666666666
train_support_ll,weighted,0.5666666666666668,0.6999999999999998
valid_positive_ll,masscap,0.4666666666666666,0.7666666666666666
valid_positive_ll,weighted,0.6666666666666666,0.6999999999999998
valid_negative_ll,masscap,0.7333333333333334,0.7666666666666666
valid_negative_ll,weighted,0.5666666666666668,0.6999999999999998
labeled_positive_ll,masscap,0.7333333333333334,0.7666666666666666
labeled_positive_ll,weighted,0.5666666666666668,0.6999999999999998
labeled_negative_ll,masscap,0.6333333333333334,0.7666666666666666
labeled_negative_ll,weighted,0.5666666666666668,0.6999999999999998
valid_pos_minus_neg_ll,masscap,0.16666666666666666,0.7666666666666666
valid_pos_minus_neg_ll,weighted,0.26666666666666666,0.6999999999999998
labeled_pos_minus_neg_ll,masscap,0.4666666666666666,0.7666666666666666
labeled_pos_minus_neg_ll,weighted,0.26666666666666666,0.6999999999999998
valid_joint_pos_neg_ll,masscap,0.7333333333333334,0.7666666666666666
valid_joint_pos_neg_ll,weighted,0.5666666666666668,0.6999999999999998
labeled_joint_pos_neg_ll,masscap,0.7666666666666666,0.7666666666666666
labeled_joint_pos_neg_ll,weighted,0.5666666666666668,0.6999999999999998
