run,method,rule,selected_epoch,selected_score,selected_rollout_success,rollout_best_epoch,rollout_best_success
masscap_seed0,masscap,train_support_ll,200,-2781356.065,0.8,150,0.8
masscap_seed0,masscap,valid_positive_ll,100,-6225075.520833333,0.5,150,0.8
masscap_seed0,masscap,valid_negative_ll,200,-9486484.583333334,0.8,150,0.8
masscap_seed0,masscap,labeled_positive_ll,200,-3133318.59375,0.8,150,0.8
masscap_seed0,masscap,labeled_negative_ll,100,-13979726.181818182,0.5,150,0.8
masscap_seed0,masscap,valid_pos_minus_neg_ll,50,6197434.923611111,0.3,150,0.8
masscap_seed0,masscap,labeled_pos_minus_neg_ll,200,11304904.951704545,0.8,150,0.8
masscap_seed0,masscap,valid_joint_pos_neg_ll,200,-16253421.833333334,0.8,150,0.8
masscap_seed0,masscap,labeled_joint_pos_neg_ll,200,-17571542.139204547,0.8,150,0.8
masscap_seed1,masscap,train_support_ll,200,-2914998.535,0.6,150,0.7
masscap_seed1,masscap,valid_positive_ll,50,-6546329.0,0.2,150,0.7
masscap_seed1,masscap,valid_negative_ll,100,-11095918.388888888,0.6,150,0.7
masscap_seed1,masscap,labeled_positive_ll,200,-3064617.1770833335,0.6,150,0.7
masscap_seed1,masscap,labeled_negative_ll,100,-13926241.818181818,0.6,150,0.7
masscap_seed1,masscap,valid_pos_minus_neg_ll,50,6038173.388888888,0.2,150,0.7
masscap_seed1,masscap,labeled_pos_minus_neg_ll,200,12970401.550189393,0.6,150,0.7
masscap_seed1,masscap,valid_joint_pos_neg_ll,100,-17687075.09722222,0.6,150,0.7
masscap_seed1,masscap,labeled_joint_pos_neg_ll,150,-18171384.289772727,0.7,150,0.7
masscap_seed2,masscap,train_support_ll,200,-2361822.455,0.8,200,0.8
masscap_seed2,masscap,valid_positive_ll,150,-5624387.03125,0.7,200,0.8
masscap_seed2,masscap,valid_negative_ll,200,-10706969.833333334,0.8,200,0.8
masscap_seed2,masscap,labeled_positive_ll,200,-2520193.9791666665,0.8,200,0.8
masscap_seed2,masscap,labeled_negative_ll,200,-12498144.772727273,0.8,200,0.8
masscap_seed2,masscap,valid_pos_minus_neg_ll,50,7339150.833333333,0.0,200,0.8
masscap_seed2,masscap,labeled_pos_minus_neg_ll,50,10315870.352272727,0.0,200,0.8
masscap_seed2,masscap,valid_joint_pos_neg_ll,200,-16622960.697916668,0.8,200,0.8
masscap_seed2,masscap,labeled_joint_pos_neg_ll,200,-15018338.75189394,0.8,200,0.8
weighted_seed0,weighted,train_support_ll,200,-3120627.55,0.5,100,0.8
weighted_seed0,weighted,valid_positive_ll,100,-5920410.0625,0.8,100,0.8
weighted_seed0,weighted,valid_negative_ll,200,-5999714.75,0.5,100,0.8
weighted_seed0,weighted,labeled_positive_ll,200,-2796133.125,0.5,100,0.8
weighted_seed0,weighted,labeled_negative_ll,200,-7298580.75,0.5,100,0.8
weighted_seed0,weighted,valid_pos_minus_neg_ll,50,3440886.618055555,0.4,100,0.8
weighted_seed0,weighted,labeled_pos_minus_neg_ll,50,5721132.554924241,0.4,100,0.8
weighted_seed0,weighted,valid_joint_pos_neg_ll,200,-11989694.333333332,0.5,100,0.8
weighted_seed0,weighted,labeled_joint_pos_neg_ll,200,-10094713.875,0.5,100,0.8
weighted_seed1,weighted,train_support_ll,200,-3144470.9925,0.6,100,0.6
weighted_seed1,weighted,valid_positive_ll,150,-5725468.0,0.6,100,0.6
weighted_seed1,weighted,valid_negative_ll,200,-6067816.611111111,0.6,100,0.6
weighted_seed1,weighted,labeled_positive_ll,200,-2714221.0,0.6,100,0.6
weighted_seed1,weighted,labeled_negative_ll,200,-7739084.75,0.6,100,0.6
weighted_seed1,weighted,valid_pos_minus_neg_ll,50,3012487.604166667,0.3,100,0.6
weighted_seed1,weighted,labeled_pos_minus_neg_ll,50,5105582.503787878,0.3,100,0.6
weighted_seed1,weighted,valid_joint_pos_neg_ll,200,-11968203.798611112,0.6,100,0.6
weighted_seed1,weighted,labeled_joint_pos_neg_ll,200,-10453305.75,0.6,100,0.6
weighted_seed2,weighted,train_support_ll,200,-2958933.3125,0.6,150,0.7
weighted_seed2,weighted,valid_positive_ll,200,-5638195.604166667,0.6,150,0.7
weighted_seed2,weighted,valid_negative_ll,200,-5343778.333333333,0.6,150,0.7
weighted_seed2,weighted,labeled_positive_ll,200,-2629271.6666666665,0.6,150,0.7
weighted_seed2,weighted,labeled_negative_ll,200,-6878567.545454546,0.6,150,0.7
weighted_seed2,weighted,valid_pos_minus_neg_ll,50,1428975.611111111,0.1,150,0.7
weighted_seed2,weighted,labeled_pos_minus_neg_ll,50,4351934.011363637,0.1,150,0.7
weighted_seed2,weighted,valid_joint_pos_neg_ll,200,-10981973.9375,0.6,150,0.7
weighted_seed2,weighted,labeled_joint_pos_neg_ll,200,-9507839.212121213,0.6,150,0.7
