method,epoch,mean_success
masscap,50,0.16666666666666666
masscap,100,0.5
masscap,150,0.7333333333333334
masscap,200,0.7333333333333334
masscap,oracle_best,0.7666666666666666
weighted,50,0.26666666666666666
weighted,100,0.6
weighted,150,0.6999999999999998
weighted,200,0.5666666666666668
weighted,oracle_best,0.6999999999999998
