run,filter,selected_epoch,selected_log_likelihood,selected_loss,selected_rollout_success,rollout_best_epoch,rollout_best_success
masscap_seed0,train_support,200,-2781356.065,2781356.065,0.8,150,0.8
masscap_seed0,valid_positive,100,-6225075.520833333,6225075.520833333,0.5,150,0.8
masscap_seed0,valid_negative,200,-9486484.583333334,9486484.583333334,0.8,150,0.8
masscap_seed0,labeled_positive,200,-3133318.59375,3133318.59375,0.8,150,0.8
masscap_seed0,labeled_negative,100,-13979726.181818182,13979726.181818182,0.5,150,0.8
masscap_seed1,train_support,200,-2914998.535,2914998.535,0.6,150,0.7
masscap_seed1,valid_positive,50,-6546329.0,6546329.0,0.2,150,0.7
masscap_seed1,valid_negative,100,-11095918.388888888,11095918.388888888,0.6,150,0.7
masscap_seed1,labeled_positive,200,-3064617.1770833335,3064617.1770833335,0.6,150,0.7
masscap_seed1,labeled_negative,100,-13926241.818181818,13926241.818181818,0.6,150,0.7
masscap_seed2,train_support,200,-2361822.455,2361822.455,0.8,200,0.8
masscap_seed2,valid_positive,150,-5624387.03125,5624387.03125,0.7,200,0.8
masscap_seed2,valid_negative,200,-10706969.833333334,10706969.833333334,0.8,200,0.8
masscap_seed2,labeled_positive,200,-2520193.9791666665,2520193.9791666665,0.8,200,0.8
masscap_seed2,labeled_negative,200,-12498144.772727273,12498144.772727273,0.8,200,0.8
weighted_seed0,train_support,200,-3120627.55,3120627.55,0.5,100,0.8
weighted_seed0,valid_positive,100,-5920410.0625,5920410.0625,0.8,100,0.8
weighted_seed0,valid_negative,200,-5999714.75,5999714.75,0.5,100,0.8
weighted_seed0,labeled_positive,200,-2796133.125,2796133.125,0.5,100,0.8
weighted_seed0,labeled_negative,200,-7298580.75,7298580.75,0.5,100,0.8
weighted_seed1,train_support,200,-3144470.9925,3144470.9925,0.6,100,0.6
weighted_seed1,valid_positive,150,-5725468.0,5725468.0,0.6,100,0.6
weighted_seed1,valid_negative,200,-6067816.611111111,6067816.611111111,0.6,100,0.6
weighted_seed1,labeled_positive,200,-2714221.0,2714221.0,0.6,100,0.6
weighted_seed1,labeled_negative,200,-7739084.75,7739084.75,0.6,100,0.6
weighted_seed2,train_support,200,-2958933.3125,2958933.3125,0.6,150,0.7
weighted_seed2,valid_positive,200,-5638195.604166667,5638195.604166667,0.6,150,0.7
weighted_seed2,valid_negative,200,-5343778.333333333,5343778.333333333,0.6,150,0.7
weighted_seed2,labeled_positive,200,-2629271.6666666665,2629271.6666666665,0.6,150,0.7
weighted_seed2,labeled_negative,200,-6878567.545454546,6878567.545454546,0.6,150,0.7
