split_seed,candidate_id,candidate_tag,train_epochs,epoch_steps,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,success_rate,success_count,eval_episodes,avg_len,checkpoint
101,bad_aware_proxy_top40,bap40,200,100,50,40,21,19,0.525,0.525,0.237,0.14,7,50,137.34,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split101/bap40/train/lift_hn200_s101_bap40_seed0_bc_rnn_e200/20260625190121/models/model_epoch_200.pth
101,state_action_positive_nn_top40,sapn40,200,100,50,40,7,33,0.175,0.175,0.412,0.06,3,50,143.56,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split101/sapn40/train/lift_hn200_s101_sapn40_seed0_bc_rnn_e200/20260625185658/models/model_epoch_200.pth
202,bad_aware_proxy_top40,bap40,200,100,50,40,38,2,0.950,0.950,0.025,0.12,6,50,137.24,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/bap40/train/lift_hn200_s202_bap40_seed0_bc_rnn_e200/20260625194956/models/model_epoch_200.pth
202,state_action_positive_nn_top40,sapn40,200,100,50,40,0,40,0.000,0.000,0.500,0.02,1,50,149.16,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split202/sapn40/train/lift_hn200_s202_sapn40_seed0_bc_rnn_e200/20260625194423/models/model_epoch_200.pth
303,bad_aware_proxy_top40,bap40,200,100,50,40,23,17,0.575,0.575,0.212,0.04,2,50,145.04,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split303/bap40/train/lift_hn200_s303_bap40_seed0_bc_rnn_e200/20260625201423/models/model_epoch_200.pth
303,state_action_positive_nn_top40,sapn40,200,100,50,40,5,35,0.125,0.125,0.438,0.02,1,50,147.54,/home/eston/tri-piql/results/final_paper/ablations/lift_hard_negative_endpoint_200ep/split303/sapn40/train/lift_hn200_s303_sapn40_seed0_bc_rnn_e200/20260625200951/models/model_epoch_200.pth
