method,selector_mode,unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,seed,estimated_positive_mass,effective_min,labeled_positive_score_mean,labeled_negative_score_mean,score_gap,adaptive_mode,masscap_mode,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_hidden_positive_recall,selected_score_min,selected_score_mean,selected_score_max
adaptive_posmass,precision_top20,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,20,5,15,0.25,1.0,0.49203988909721375,0.6073628827929497,0.8206998705863953
adaptive_masscap,precision_top20,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,20,5,15,0.25,1.0,0.49203988909721375,0.6073628827929497,0.8206998705863953
coverage_gap,coverage_gap,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,46,5,41,0.10869565217391304,1.0,0.28086790442466736,0.48346968513468036,0.8206998705863953
top20,top20,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,20,5,15,0.25,1.0,0.49203988909721375,0.6073628827929497,0.8206998705863953
top40,top40,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,40,5,35,0.125,1.0,0.3318808376789093,0.5096318483352661,0.8206998705863953
top80,top80,5,80,0.9411764705882353,0,22.8485886571196,40,0.8273676633834839,0.17511873990297316,0.025609701871871948,precision_top20,precision_top20,80,5,75,0.0625,1.0,0.1077791079878807,0.3575547427870333,0.8206998705863953
adaptive_posmass,precision_top20,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4929129183292389,0.629342570900917,0.840088963508606
adaptive_masscap,precision_top20,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4929129183292389,0.629342570900917,0.840088963508606
coverage_gap,coverage_gap,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,51,5,46,0.09803921568627451,1.0,0.24563300609588623,0.47945623012150035,0.840088963508606
top20,top20,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4929129183292389,0.629342570900917,0.840088963508606
top40,top40,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,40,5,35,0.125,1.0,0.36408498883247375,0.5295974172651767,0.840088963508606
top80,top80,5,80,0.9411764705882353,1,24.638021050813048,40,0.8264117956161499,0.16162276789546012,0.04131181538105011,precision_top20,precision_top20,80,5,75,0.0625,1.0,0.10100390017032623,0.35898040141910315,0.840088963508606
adaptive_posmass,precision_top20,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4819105863571167,0.5777724668383598,0.8039944171905518
adaptive_masscap,precision_top20,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4819105863571167,0.5777724668383598,0.8039944171905518
coverage_gap,coverage_gap,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,42,5,37,0.11904761904761904,1.0,0.3157162070274353,0.48858327241170973,0.8039944171905518
top20,top20,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,20,5,15,0.25,1.0,0.4819105863571167,0.5777724668383598,0.8039944171905518
top40,top40,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,40,5,35,0.125,1.0,0.32225942611694336,0.49716622307896613,0.8039944171905518
top80,top80,5,80,0.9411764705882353,2,21.61034689494728,40,0.827269172668457,0.17145098969340325,0.029351353645324707,precision_top20,precision_top20,80,5,75,0.0625,1.0,0.07405459135770798,0.33685906808823346,0.8039944171905518
adaptive_posmass,precision_top20,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5330380797386169,0.677616822719574,0.8772125244140625
adaptive_masscap,precision_top20,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5330380797386169,0.677616822719574,0.8772125244140625
coverage_gap,coverage_gap,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,51,10,41,0.19607843137254902,1.0,0.28622013330459595,0.5130761394313738,0.8772125244140625
top20,top20,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5330380797386169,0.677616822719574,0.8772125244140625
top40,top40,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,40,10,30,0.25,1.0,0.3782941401004791,0.5645831041038036,0.8772125244140625
top80,top80,10,80,0.8888888888888888,0,27.37352242811708,40,0.8270093679428101,0.1759590722620487,0.03373637795448303,precision_top20,precision_top20,80,10,70,0.125,1.0,0.15067517757415771,0.3986274341121316,0.8772125244140625
adaptive_posmass,precision_top20,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5511751770973206,0.6975744396448136,0.9045701622962952
adaptive_masscap,precision_top20,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5511751770973206,0.6975744396448136,0.9045701622962952
coverage_gap,coverage_gap,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,56,10,46,0.17857142857142858,1.0,0.23862069845199585,0.5067829314087119,0.9045701622962952
top20,top20,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,20,10,10,0.5,1.0,0.5511751770973206,0.6975744396448136,0.9045701622962952
top40,top40,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,40,10,30,0.25,1.0,0.39275842905044556,0.5809497155249119,0.9045701622962952
top80,top80,10,80,0.8888888888888888,1,29.084421578548433,40,0.824909895658493,0.16258859410881996,0.036437198519706726,precision_top20,precision_top20,80,10,70,0.125,1.0,0.11934066563844681,0.40099306888878344,0.9045701622962952
