unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,method,seeds,selector_modes,posmass_modes,masscap_modes,estimated_positive_mass_mean,estimated_positive_mass_std,selected_demo_count_mean,selected_hidden_positive_demos_mean,selected_hidden_bad_demos_mean,selected_hidden_positive_purity_mean,selected_hidden_positive_recall_mean
5,80,0.9411764705882353,adaptive_masscap,3,precision_top20,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,20.0,5.0,15.0,0.25,1.0
5,80,0.9411764705882353,adaptive_posmass,3,precision_top20,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,20.0,5.0,15.0,0.25,1.0
5,80,0.9411764705882353,coverage_gap,3,coverage_gap,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,46.333333333333336,5.0,41.333333333333336,0.1085941623026022,1.0
5,80,0.9411764705882353,top20,3,top20,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,20.0,5.0,15.0,0.25,1.0
5,80,0.9411764705882353,top40,3,top40,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,40.0,5.0,35.0,0.125,1.0
5,80,0.9411764705882353,top80,3,top80,precision_top20,precision_top20,23.032318867626643,1.2428516380255246,80.0,5.0,75.0,0.0625,1.0
10,80,0.8888888888888888,adaptive_masscap,3,precision_top20,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,20.0,10.0,10.0,0.5,1.0
10,80,0.8888888888888888,adaptive_posmass,3,precision_top20,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,20.0,10.0,10.0,0.5,1.0
10,80,0.8888888888888888,coverage_gap,3,coverage_gap,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,50.0,10.0,40.0,0.20240266649295377,1.0
10,80,0.8888888888888888,top20,3,top20,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,20.0,10.0,10.0,0.5,1.0
10,80,0.8888888888888888,top40,3,top40,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,40.0,10.0,30.0,0.25,1.0
10,80,0.8888888888888888,top80,3,top80,precision_top20,precision_top20,27.452158649408016,1.3018220401278882,80.0,10.0,70.0,0.125,1.0
20,80,0.8,adaptive_masscap,3,precision_top20,precision_top20,precision_top20,34.0610480751778,1.401662890388228,20.0,15.0,5.0,0.75,0.75
20,80,0.8,adaptive_posmass,3,precision_top20,precision_top20,precision_top20,34.0610480751778,1.401662890388228,20.0,15.0,5.0,0.75,0.75
20,80,0.8,coverage_gap,3,coverage_gap,precision_top20,precision_top20,34.0610480751778,1.401662890388228,52.333333333333336,20.0,32.333333333333336,0.3837226714585205,1.0
20,80,0.8,top20,3,top20,precision_top20,precision_top20,34.0610480751778,1.401662890388228,20.0,15.0,5.0,0.75,0.75
20,80,0.8,top40,3,top40,precision_top20,precision_top20,34.0610480751778,1.401662890388228,40.0,19.666666666666668,20.333333333333332,0.4916666666666667,0.9833333333333334
20,80,0.8,top80,3,top80,precision_top20,precision_top20,34.0610480751778,1.401662890388228,80.0,20.0,60.0,0.25,1.0
30,80,0.7272727272727273,adaptive_masscap,3,"coverage_gap,top_estimated_mass",coverage_gap,"coverage_gap,top_estimated_mass",42.191607118230515,1.5609022311954657,46.333333333333336,28.333333333333332,18.0,0.6163215217057831,0.9444444444444443
30,80,0.7272727272727273,adaptive_posmass,3,coverage_gap,coverage_gap,"coverage_gap,top_estimated_mass",42.191607118230515,1.5609022311954657,64.33333333333333,30.0,34.333333333333336,0.47585873246250604,1.0
