run,filter,selected_epoch,selected_log_likelihood,selected_loss,selected_rollout_success,rollout_best_epoch,rollout_best_success
posmin_seed0,train_support,200,-27611629.04,27611629.04,0.8,200,0.8
posmin_seed0,valid_all,50,-83791372.42222223,83791372.42222223,0.2,200,0.8
posmin_seed0,valid_positive,200,-53737007.06666667,53737007.06666667,0.8,200,0.8
posmin_seed0,labeled_positive,200,-20633985.633333333,20633985.633333333,0.8,200,0.8
posmin_seed1,train_support,200,-32177133.07,32177133.07,0.4,150,0.5
posmin_seed1,valid_all,50,-84538714.04444444,84538714.04444444,0.2,150,0.5
posmin_seed1,valid_positive,100,-54595036.53333333,54595036.53333333,0.2,150,0.5
posmin_seed1,labeled_positive,200,-21376940.533333335,21376940.533333335,0.4,150,0.5
posmin_seed2,train_support,200,-34290548.34,34290548.34,0.8,200,0.8
posmin_seed2,valid_all,100,-82716457.6111111,82716457.6111111,0.2,200,0.8
posmin_seed2,valid_positive,200,-50759466.48888889,50759466.48888889,0.8,200,0.8
posmin_seed2,labeled_positive,200,-20836018.6,20836018.6,0.8,200,0.8
allpositive_seed0,train_support,200,-29483114.7,29483114.7,0.8,200,0.8
allpositive_seed0,valid_all,50,-81736481.12222221,81736481.12222221,0.2,200,0.8
allpositive_seed0,valid_positive,100,-50270183.08888889,50270183.08888889,0.3,200,0.8
allpositive_seed0,labeled_positive,200,-21096087.533333335,21096087.533333335,0.8,200,0.8
allpositive_seed1,train_support,200,-29775315.84,29775315.84,0.5,150,0.7
allpositive_seed1,valid_all,50,-80501002.67777778,80501002.67777778,0.1,150,0.7
allpositive_seed1,valid_positive,200,-46309531.06666667,46309531.06666667,0.5,150,0.7
allpositive_seed1,labeled_positive,200,-21096962.4,21096962.4,0.5,150,0.7
allpositive_seed2,train_support,200,-28981301.86,28981301.86,0.6,150,0.7
allpositive_seed2,valid_all,50,-80219929.1111111,80219929.1111111,0.2,150,0.7
allpositive_seed2,valid_positive,100,-49153283.53333333,49153283.53333333,0.6,150,0.7
allpositive_seed2,labeled_positive,200,-20663830.733333334,20663830.733333334,0.6,150,0.7
alltrain_seed0,train_support,50,-107227298.24,107227298.24,0.1,150,0.3
alltrain_seed0,valid_all,200,-51301101.8,51301101.8,0.1,150,0.3
alltrain_seed0,valid_positive,200,-41956758.46666667,41956758.46666667,0.1,150,0.3
alltrain_seed0,labeled_positive,200,-27728817.533333335,27728817.533333335,0.1,150,0.3
alltrain_seed1,train_support,200,-109482903.04,109482903.04,0.3,200,0.3
alltrain_seed1,valid_all,200,-51831723.11111111,51831723.11111111,0.3,200,0.3
alltrain_seed1,valid_positive,200,-41949603.31111111,41949603.31111111,0.3,200,0.3
alltrain_seed1,labeled_positive,200,-28034183.533333335,28034183.533333335,0.3,200,0.3
alltrain_seed2,train_support,200,-107129306.88,107129306.88,0.2,200,0.2
alltrain_seed2,valid_all,200,-51605531.93333333,51605531.93333333,0.2,200,0.2
alltrain_seed2,valid_positive,200,-42293932.2,42293932.2,0.2,200,0.2
alltrain_seed2,labeled_positive,200,-28170880.066666666,28170880.066666666,0.2,200,0.2
