initial_demo_id,adaptive_masscap_success,adaptive_masscap_successes,weighted_prob_success,weighted_prob_successes,difference
demo_5,0.000,0/5,0.000,0/5,0.000
demo_29,1.000,5/5,1.000,5/5,0.000
demo_39,0.000,0/5,0.000,0/5,0.000
demo_45,1.000,5/5,0.600,3/5,0.400
demo_53,0.400,2/5,0.000,0/5,0.400
demo_81,1.000,5/5,0.400,2/5,0.600
demo_89,1.000,5/5,1.000,5/5,0.000
demo_99,0.800,4/5,0.600,3/5,0.200
demo_105,1.000,5/5,1.000,5/5,0.000
demo_189,0.800,4/5,1.000,5/5,-0.200
