method,seed,checkpoint_epoch,optimizer_steps,success,avg_return,avg_len,eval_episodes,approx_se,approx_95ci_low,approx_95ci_high
adaptive_masscap,0,200,20000,0.700,0.700,199.44,50,0.065,0.573,0.827
weighted_prob_sampler,0,200,20000,0.560,0.560,237.52,50,0.070,0.422,0.698
