seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,9,1,0.9,0.9928429126739502,0.9937340974807739,0.9955040216445923
0,15,top_15,15,13,2,0.8666666666666667,0.9917985200881958,0.9931950012842814,0.9955040216445923
0,20,top_20,20,17,3,0.85,0.9911844730377197,0.9927304148674011,0.9955040216445923
0,25,top_25,25,21,4,0.84,0.9908251762390137,0.992376127243042,0.9955040216445923
0,30,top_30,30,24,6,0.8,0.990372896194458,0.9920784910519918,0.9955040216445923
0,35,top_35,35,27,8,0.7714285714285715,0.989844560623169,0.9917938402720861,0.9955040216445923
0,40,top_40,40,31,9,0.775,0.9896405935287476,0.9915341958403587,0.9955040216445923
0,45,top_45,45,35,10,0.7777777777777778,0.9891037940979004,0.9912872393925984,0.9955040216445923
0,50,top_50,50,39,11,0.78,0.9882968068122864,0.9910323023796082,0.9955040216445923
0,60,top_60,60,45,15,0.75,0.987857460975647,0.9905377954244614,0.9955040216445923
0,80,top_80,80,59,21,0.7375,0.9849467873573303,0.9894513785839081,0.9955040216445923
1,10,top_10,10,9,1,0.9,0.9924131035804749,0.993474805355072,0.9966170191764832
1,15,top_15,15,12,3,0.8,0.9918065667152405,0.9930209557215373,0.9966170191764832
1,20,top_20,20,16,4,0.8,0.9912828803062439,0.9926578164100647,0.9966170191764832
1,25,top_25,25,21,4,0.84,0.9902310967445374,0.9922642636299134,0.9966170191764832
1,30,top_30,30,23,7,0.7666666666666667,0.9898661375045776,0.9918817222118378,0.9966170191764832
1,35,top_35,35,25,10,0.7142857142857143,0.9891953468322754,0.9915393148149763,0.9966170191764832
1,40,top_40,40,28,12,0.7,0.9886650443077087,0.991213969886303,0.9966170191764832
1,45,top_45,45,32,13,0.7111111111111111,0.987838625907898,0.9908908579084609,0.9966170191764832
1,50,top_50,50,36,14,0.72,0.9874275922775269,0.9905588138103485,0.9966170191764832
1,60,top_60,60,45,15,0.75,0.9863139986991882,0.9899523784716924,0.9966170191764832
1,80,top_80,80,57,23,0.7125,0.9834700226783752,0.9887566402554512,0.9966170191764832
2,10,top_10,10,8,2,0.8,0.9934490919113159,0.9945477664470672,0.9968190789222717
2,15,top_15,15,12,3,0.8,0.9929492473602295,0.9940607945124308,0.9968190789222717
2,20,top_20,20,16,4,0.8,0.9918964505195618,0.9935925334692002,0.9968190789222717
2,25,top_25,25,20,5,0.8,0.9912089109420776,0.9931703567504883,0.9968190789222717
2,30,top_30,30,23,7,0.7666666666666667,0.9905442595481873,0.9927778780460358,0.9968190789222717
2,35,top_35,35,25,10,0.7142857142857143,0.9900431036949158,0.9924143620899746,0.9968190789222717
2,40,top_40,40,29,11,0.725,0.9894771575927734,0.9920923560857773,0.9968190789222717
2,45,top_45,45,32,13,0.7111111111111111,0.9891567230224609,0.9917799234390259,0.9968190789222717
2,50,top_50,50,37,13,0.74,0.9887576103210449,0.991490730047226,0.9968190789222717
2,60,top_60,60,42,18,0.7,0.9878163933753967,0.9909461011489232,0.9968190789222717
2,80,top_80,80,57,23,0.7125,0.9856023192405701,0.9898493237793445,0.9968190789222717
