seed,labeled_positive_demo_count,labeled_negative_demo_count,labeled_positive_mean,labeled_positive_min,labeled_positive_p10,labeled_positive_p50,labeled_positive_p90,labeled_positive_max,labeled_negative_mean,labeled_negative_min,labeled_negative_p10,labeled_negative_p50,labeled_negative_p90,labeled_negative_max
0,10,10,0.9726426899433136,0.9024007320404053,0.9268019139766693,0.9837056398391724,0.993984478712082,0.9947619438171387,0.027717019710689784,0.0066972700878977776,0.007990454416722059,0.024303514510393143,0.042840642854571336,0.05413832515478134
1,10,10,0.9731595635414123,0.9047723412513733,0.9227827847003937,0.9853941798210144,0.99439537525177,0.9947397708892822,0.024812960205599664,0.005707090720534325,0.007454806799069047,0.025012263096868992,0.04290718585252762,0.049551621079444885
2,10,10,0.9721409320831299,0.9018957614898682,0.917171961069107,0.9866601526737213,0.9945445418357849,0.9952143430709839,0.024107256066054107,0.006680437829345465,0.007102184183895588,0.024148776195943356,0.03576187789440154,0.04913503676652908
