selector_mode,heldout_split,gate_label,feature,direction,threshold,feature_2,direction_2,threshold_2,operator,train_episodes,train_positive_successes,train_cau_successes,train_routed_successes,train_delta_vs_positive,train_delta_vs_cau,train_gains_vs_positive,train_losses_vs_positive,train_opened_episodes,test_episodes,test_positive_successes,test_cau_successes,test_routed_successes,test_delta_vs_positive,test_delta_vs_cau,test_gains_vs_positive,test_losses_vs_positive,test_opened_episodes
safe_zero_loss,pooled_resubstitution,two_feature,cau_minus_positive_support_margin,le,0.126906,positive_support_margin,gt,0.627420,and,370,269,296,293,24,-3,24,0,64,370,269,296,293,24,-3,24,0,64
safe_zero_loss,101,two_feature,cau_logp_margin_vs_positive,gt,0.700273,cau_top_scale_mean,gt,0.104820,and,320,250,263,271,21,8,21,0,90,50,19,33,32,13,-1,20,7,40
safe_zero_loss,202,two_feature,cau_minus_positive_support_margin,le,-0.103924,cau_minus_positive_logit_gap,le,-16.154610,or,320,229,254,247,18,-7,18,0,71,50,40,42,40,0,-2,0,0,5
safe_zero_loss,303,two_feature,cau_logp_margin_vs_positive,gt,0.667477,positive_support_margin,gt,0.303167,and,320,233,256,257,24,1,24,0,48,50,36,40,37,1,-3,6,5,20
safe_zero_loss,404,two_feature,positive_cau_action_l2,gt,0.081332,positive_support_margin,gt,0.451646,and,320,230,261,249,19,-12,19,0,46,50,39,35,34,-5,-1,1,6,25
safe_zero_loss,505,two_feature,cau_minus_positive_support_margin,le,0.111773,positive_support_margin,gt,0.650140,and,320,229,253,249,20,-4,20,0,49,50,40,43,41,1,-2,1,0,5
safe_zero_loss,606,two_feature,cau_minus_positive_support_margin,le,0.126906,positive_support_margin,gt,0.627420,and,350,253,281,277,24,-4,24,0,60,20,16,15,16,0,1,0,0,4
safe_zero_loss,707,two_feature,cau_minus_positive_support_margin,le,0.124516,positive_support_margin,gt,0.650140,and,320,233,246,256,23,10,23,0,54,50,36,50,37,1,-13,1,0,5
safe_zero_loss,808,two_feature,positive_support_margin,gt,0.206030,cau_minus_positive_logit_gap,gt,-3.406572,and,320,226,258,252,26,-6,26,0,75,50,43,38,39,-4,1,0,4,10
best_delta,pooled_resubstitution,two_feature,cau_logp_margin_vs_positive,gt,0.757865,cau_support_margin,gt,0.837440,or,370,269,296,310,41,14,57,16,245,370,269,296,310,41,14,57,16,245
best_delta,101,two_feature,cau_logp_margin_vs_positive,gt,0.700273,positive_cau_action_l2,gt,0.080743,and,320,250,263,281,31,18,36,5,185,50,19,33,28,9,-5,16,7,35
best_delta,202,two_feature,cau_logp_margin_vs_positive,gt,0.799573,cau_support_margin,gt,0.799229,or,320,229,254,266,37,12,51,14,213,50,40,42,44,4,2,4,0,15
best_delta,303,two_feature,cau_logp_margin_vs_positive,gt,0.667477,cau_top_scale_mean,le,0.129451,and,320,233,256,272,39,16,45,6,156,50,36,40,40,4,0,10,6,50
best_delta,404,two_feature,cau_logp_margin_vs_positive,gt,0.678646,cau_top_scale_mean,le,0.129451,and,320,230,261,272,42,11,54,12,191,50,39,35,39,0,4,0,0,10
best_delta,505,two_feature,cau_logp_margin_vs_positive,gt,0.667477,positive_top_prob,gt,0.999998,and,320,229,253,271,42,18,51,9,182,50,40,43,40,0,-3,0,0,0
best_delta,606,two_feature,cau_logp_margin_vs_positive,gt,0.576382,cau_minus_positive_support_margin,le,0.126906,and,350,253,281,293,40,12,50,10,175,20,16,15,16,0,1,1,1,10
best_delta,707,two_feature,cau_logp_margin_vs_positive,gt,0.667477,cau_top_scale_mean,le,0.128964,and,320,233,246,262,29,16,41,12,156,50,36,50,49,13,-1,13,0,45
best_delta,808,two_feature,cau_logp_margin_vs_positive,gt,0.717695,positive_support_margin,gt,0.656079,or,320,226,258,268,42,10,58,16,257,50,43,38,43,0,5,0,0,0
