split_seed,eval_episodes,positive_only_successes,weighted_bc_successes,triage_bc_successes,v02_selected_successes,cau_successes,best_old_baseline_successes,best_cau_v02_successes,best_all_non_oracle_successes,estimated_positive_mass,count_ge_pos_min,labeled_positive_p10,selected_unlabeled,classifier_score_mean,labeled_positive_min,labeled_positive_mean,labeled_negative_mean,estimated_mass_ratio,estimated_mass_minus_selected,score_gap_labeled_pos_neg,count_ge_pos_min_ratio,best_gate_selected_method,best_gate_selected_successes,best_gate_delta_vs_v02,best_gate_delta_vs_cau,best_gate_delta_vs_best_old
101,50,19,37,28,45,33,37,45,45,45.756887,15.000000,0.821810,49.000000,0.625000,0.783000,0.889000,0.112000,0.933814,-3.243113,0.777000,0.306122,positive_nn_risk_union_top40,45,0,12,8
202,50,40,33,36,45,42,40,45,45,43.972972,7.000000,0.806035,44.000000,0.628000,0.768000,0.869000,0.131000,0.999386,-0.027028,0.738000,0.159091,positive_nn_risk_union_top40,45,0,3,5
303,50,36,25,35,39,40,36,40,40,56.152973,15.000000,0.870258,45.000000,0.703000,0.808000,0.918000,0.088000,1.247844,11.152973,0.830000,0.333333,cau_action_conflict,40,1,0,4
404,50,39,33,36,27,35,39,35,39,49.505176,10.000000,0.840707,44.000000,0.650000,0.831000,0.908000,0.101000,1.125118,5.505176,0.807000,0.227273,cau_action_conflict,35,8,0,-4
505,50,40,30,36,41,43,40,43,43,53.523725,19.000000,0.795869,44.000000,0.711000,0.758000,0.894000,0.112000,1.216448,9.523725,0.782000,0.431818,cau_action_conflict,43,2,0,3
