split,episode,initial_demo_id,positive_success,cau_success,oracle_success,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,cau_top_prob,cau_entropy,cau_logit_gap,cau_top_scale_mean,cau_support_margin,cau_support_pos_dist,cau_support_neg_dist,positive_cau_action_l2,positive_logp_self,positive_logp_under_cau,positive_logp_margin_vs_cau,cau_logp_self,cau_logp_under_positive,cau_logp_margin_vs_positive,cau_minus_positive_top_prob,cau_minus_positive_entropy,cau_minus_positive_logit_gap,cau_minus_positive_support_margin
101,0,demo_5,1,0,1,0.999998,2.6e-05,13.259365,0.146574,0.057884,2.504902,2.562785,1.0,0.0,17.481667,0.130523,0.077464,2.533666,2.61113,0.140517,14.962376,15.440837,-0.478461,15.785396,14.741356,1.04404,2e-06,-2.6e-05,4.222302,0.01958
101,1,demo_29,1,1,1,0.999999,1e-05,14.234034,0.140359,-1.290622,2.600448,1.309825,1.0,0.0,18.604538,0.129492,-1.300237,2.541139,1.240902,0.172785,15.231465,15.670864,-0.439399,15.999369,14.983156,1.016213,1e-06,-1e-05,4.370504,-0.009615
101,2,demo_39,0,0,0,0.999998,3.3e-05,12.98723,0.149135,-0.462983,3.621209,3.158226,1.0,1e-06,17.129219,0.148883,-0.474339,3.626274,3.151935,0.179411,14.927985,14.632734,0.295251,14.952164,14.629698,0.322466,2e-06,-3.2e-05,4.141989,-0.011356
101,3,demo_45,0,1,1,1.0,7e-06,14.626206,0.134776,-0.060062,1.681526,1.621464,1.0,0.0,19.329468,0.126044,-0.044294,1.542126,1.497832,0.151771,15.464387,15.895001,-0.430614,16.21312,15.23175,0.98137,0.0,-7e-06,4.703262,0.015768
101,4,demo_53,0,0,0,0.999997,3.7e-05,12.880927,0.148195,-0.388332,2.583774,2.195442,1.0,0.0,17.731052,0.142891,-0.351522,2.44943,2.097908,0.112355,14.877042,14.985662,-0.10862,15.183876,14.690991,0.492885,3e-06,-3.7e-05,4.850125,0.03681
101,5,demo_81,0,1,1,1.0,4e-06,15.232304,0.132357,-0.410585,1.622655,1.21207,1.0,0.0,19.583927,0.128943,-0.396383,1.57458,1.178197,0.181418,15.645364,15.788527,-0.143163,16.147324,15.347751,0.799573,0.0,-4e-06,4.351623,0.014202
101,6,demo_89,0,1,1,1.0,5e-06,15.07382,0.121012,0.70158,2.375232,3.076812,1.0,0.0,20.129793,0.128547,0.77388,1.979004,2.752884,0.077292,16.160805,15.508991,0.651814,16.257647,15.424674,0.832973,0.0,-5e-06,5.055973,0.0723
101,7,demo_99,1,1,1,1.0,3e-06,15.675064,0.132072,-0.293787,2.161293,1.867506,1.0,0.0,20.532202,0.12589,-0.365163,2.168396,1.803233,0.268501,15.781051,15.754413,0.026638,16.516851,15.169052,1.347799,0.0,-3e-06,4.857138,-0.071376
101,8,demo_105,0,1,1,1.0,6e-06,14.764437,0.140048,1.28926,1.030448,2.319708,1.0,0.0,19.576969,0.126807,1.277526,1.024697,2.302224,0.235855,15.375,15.563572,-0.188572,16.233917,14.915773,1.318144,0.0,-6e-06,4.812532,-0.011734
101,9,demo_189,0,1,1,0.999999,1.6e-05,13.782102,0.144967,0.802822,1.78843,2.591252,1.0,0.0,18.157904,0.125828,0.794398,1.80726,2.601657,0.128373,15.109861,15.698736,-0.588875,16.030739,14.903576,1.127163,1e-06,-1.6e-05,4.375802,-0.008424
101,10,demo_5,1,0,1,0.999998,2.6e-05,13.259365,0.146574,0.057884,2.504902,2.562785,1.0,0.0,17.481667,0.130523,0.077464,2.533666,2.61113,0.140517,14.962376,15.440837,-0.478461,15.785396,14.741356,1.04404,2e-06,-2.6e-05,4.222302,0.01958
101,11,demo_29,1,1,1,0.999999,1e-05,14.234034,0.140359,-1.290622,2.600448,1.309825,1.0,0.0,18.604538,0.129492,-1.300237,2.541139,1.240902,0.172785,15.231465,15.670864,-0.439399,15.999369,14.983156,1.016213,1e-06,-1e-05,4.370504,-0.009615
101,12,demo_39,0,0,0,0.999998,3.3e-05,12.98723,0.149135,-0.462983,3.621209,3.158226,1.0,1e-06,17.129219,0.148883,-0.474339,3.626274,3.151935,0.179411,14.927985,14.632734,0.295251,14.952164,14.629698,0.322466,2e-06,-3.2e-05,4.141989,-0.011356
101,13,demo_45,0,1,1,1.0,7e-06,14.626206,0.134776,-0.060062,1.681526,1.621464,1.0,0.0,19.329468,0.126044,-0.044294,1.542126,1.497832,0.151771,15.464387,15.895001,-0.430614,16.21312,15.23175,0.98137,0.0,-7e-06,4.703262,0.015768
101,14,demo_53,0,0,0,0.999997,3.7e-05,12.880927,0.148195,-0.388332,2.583774,2.195442,1.0,0.0,17.731052,0.142891,-0.351522,2.44943,2.097908,0.112355,14.877042,14.985662,-0.10862,15.183876,14.690991,0.492885,3e-06,-3.7e-05,4.850125,0.03681
101,15,demo_81,1,1,1,1.0,4e-06,15.232304,0.132357,-0.410585,1.622655,1.21207,1.0,0.0,19.583927,0.128943,-0.396383,1.57458,1.178197,0.181418,15.645364,15.788527,-0.143163,16.147324,15.347751,0.799573,0.0,-4e-06,4.351623,0.014202
101,16,demo_89,0,1,1,1.0,5e-06,15.07382,0.121012,0.70158,2.375232,3.076812,1.0,0.0,20.129793,0.128547,0.77388,1.979004,2.752884,0.077292,16.160805,15.508991,0.651814,16.257647,15.424674,0.832973,0.0,-5e-06,5.055973,0.0723
101,17,demo_99,1,1,1,1.0,3e-06,15.675064,0.132072,-0.293787,2.161293,1.867506,1.0,0.0,20.532202,0.12589,-0.365163,2.168396,1.803233,0.268501,15.781051,15.754413,0.026638,16.516851,15.169052,1.347799,0.0,-3e-06,4.857138,-0.071376
