method_id,label,candidate_successes,positive_successes,feature,direction,threshold,opened_episodes,opened_initials,opened_initial_demo_ids,routed_successes,gains_vs_positive,losses_vs_positive,delta_vs_positive,posthoc_upper_bound
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,0.803999,0,0,,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,0.803999,20,10,demo_105 demo_189 demo_29 demo_39 demo_45 demo_5 demo_53 demo_81 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,0.868000,2,1,demo_81,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,0.868000,18,9,demo_105 demo_189 demo_29 demo_39 demo_45 demo_5 demo_53 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,1.091500,4,2,demo_45 demo_81,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,1.091500,16,8,demo_105 demo_189 demo_29 demo_39 demo_5 demo_53 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,1.294500,6,3,demo_45 demo_81 demo_99,18,1,0,1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,1.294500,14,7,demo_105 demo_189 demo_29 demo_39 demo_5 demo_53 demo_89,15,1,3,-2,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,1.360000,8,4,demo_29 demo_45 demo_81 demo_99,16,1,2,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,1.360000,12,6,demo_105 demo_189 demo_39 demo_5 demo_53 demo_89,17,1,1,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,1.528500,10,5,demo_29 demo_45 demo_5 demo_81 demo_99,16,1,2,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,1.528500,10,5,demo_105 demo_189 demo_39 demo_53 demo_89,17,1,1,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,1.755500,12,6,demo_189 demo_29 demo_45 demo_5 demo_81 demo_99,16,1,2,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,1.755500,8,4,demo_105 demo_39 demo_53 demo_89,17,1,1,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,2.211000,14,7,demo_105 demo_189 demo_29 demo_45 demo_5 demo_81 demo_99,16,1,2,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,2.211000,6,3,demo_39 demo_53 demo_89,17,1,1,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,2.883000,18,9,demo_105 demo_189 demo_29 demo_45 demo_5 demo_53 demo_81 demo_89 demo_99,15,1,3,-2,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,2.883000,2,1,demo_39,18,1,0,1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,le,3.180001,20,10,demo_105 demo_189 demo_29 demo_39 demo_45 demo_5 demo_53 demo_81 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_pos_dist_mean,gt,3.180001,0,0,,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,le,-0.419001,0,0,,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,gt,-0.419001,20,10,demo_105 demo_189 demo_29 demo_39 demo_45 demo_5 demo_53 demo_81 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,le,-0.351000,2,1,demo_53,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,gt,-0.351000,18,9,demo_105 demo_189 demo_29 demo_39 demo_45 demo_5 demo_81 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,le,-0.197500,4,2,demo_105 demo_53,17,0,0,0,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,gt,-0.197500,16,8,demo_189 demo_29 demo_39 demo_45 demo_5 demo_81 demo_89 demo_99,16,2,3,-1,yes
cau_action_conflict,CAU action-conflict,16,17,initial_anchor_margin_mean,le,0.003500,6,3,demo_105 demo_53 demo_89,16,0,1,-1,yes
