method_id,successes,eval_episodes,delta_vs_cau
cau_action_conflict,193,250,0
positive_only_nn,174,250,-19
weighted_bc,158,250,-35
triage_bc_v01,171,250,-22
best_old_baseline_per_split,192,250,-1
v02_selected_union,197,250,4
best_non_oracle_per_split,209,250,16
