gate_id,direction,threshold,episodes,positive_successes,cau_successes,routed_successes,delta_vs_positive,gains_vs_positive,losses_vs_positive,opened_episodes,opened_initial_demo_ids
posthoc_lt,lt,14.305548,20,16,15,16,0,0,0,0,
posthoc_lt,lt,14.305549,20,16,15,16,0,0,0,0,
posthoc_lt,lt,14.382067,20,16,15,16,0,0,0,2,demo_39;demo_39
posthoc_lt,lt,14.458584,20,16,15,16,0,0,0,2,demo_39;demo_39
posthoc_lt,lt,14.866010,20,16,15,16,0,0,0,4,demo_39;demo_53;demo_39;demo_53
posthoc_lt,lt,15.273436,20,16,15,16,0,0,0,4,demo_39;demo_53;demo_39;demo_53
posthoc_lt,lt,15.385037,20,16,15,16,0,0,0,6,demo_5;demo_39;demo_53;demo_5;demo_39;demo_53
posthoc_lt,lt,15.496639,20,16,15,16,0,0,0,6,demo_5;demo_39;demo_53;demo_5;demo_39;demo_53
posthoc_lt,lt,15.515881,20,16,15,16,0,0,0,8,demo_5;demo_39;demo_53;demo_105;demo_5;demo_39;demo_53;demo_105
posthoc_lt,lt,15.535124,20,16,15,16,0,0,0,8,demo_5;demo_39;demo_53;demo_105;demo_5;demo_39;demo_53;demo_105
posthoc_lt,lt,15.535322,20,16,15,17,1,1,0,10,demo_5;demo_29;demo_39;demo_53;demo_105;demo_5;demo_29;demo_39;demo_53;demo_105
posthoc_lt,lt,15.535521,20,16,15,17,1,1,0,10,demo_5;demo_29;demo_39;demo_53;demo_105;demo_5;demo_29;demo_39;demo_53;demo_105
posthoc_lt,lt,15.545226,20,16,15,18,2,2,0,12,demo_5;demo_29;demo_39;demo_53;demo_105;demo_189;demo_5;demo_29;demo_39;demo_53;demo_105;demo_189
posthoc_lt,lt,15.554930,20,16,15,18,2,2,0,12,demo_5;demo_29;demo_39;demo_53;demo_105;demo_189;demo_5;demo_29;demo_39;demo_53;demo_105;demo_189
posthoc_lt,lt,15.593666,20,16,15,18,2,2,0,14,demo_5;demo_29;demo_39;demo_53;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_53;demo_89;demo_105;demo_189
posthoc_lt,lt,15.632401,20,16,15,18,2,2,0,14,demo_5;demo_29;demo_39;demo_53;demo_89;demo_105;demo_189;demo_5;demo_29;demo_39;demo_53;demo_89;demo_105;demo_189
