gate_id,feature,direction,threshold,selected_successes,eval_episodes,selected_score,selected_cau_splits,selected_v02_splits,delta_vs_always_v02,delta_vs_always_cau,delta_vs_best_old_baseline_per_split,regret_to_cau_v02_oracle,regret_to_all_non_oracle_oracle
estimated_positive_mass_gt_47.631032,estimated_positive_mass,gt,47.631032,208,250,208/250,303;404;505,101;202,11,15,16,0,4
classifier_score_mean_gt_0.639000,classifier_score_mean,gt,0.639000,208,250,208/250,303;404;505,101;202,11,15,16,0,4
labeled_positive_mean_gt_0.891500,labeled_positive_mean,gt,0.891500,208,250,208/250,303;404;505,101;202,11,15,16,0,4
estimated_mass_ratio_gt_1.062252,estimated_mass_ratio,gt,1.062252,208,250,208/250,303;404;505,101;202,11,15,16,0,4
estimated_mass_minus_selected_gt_2.739074,estimated_mass_minus_selected,gt,2.739074,208,250,208/250,303;404;505,101;202,11,15,16,0,4
score_gap_labeled_pos_neg_gt_0.779500,score_gap_labeled_pos_neg,gt,0.779500,208,250,208/250,303;404;505,101;202,11,15,16,0,4
labeled_positive_p10_gt_0.831259,labeled_positive_p10,gt,0.831259,206,250,206/250,303;404,101;202;505,9,13,14,2,6
labeled_positive_min_gt_0.795500,labeled_positive_min,gt,0.795500,206,250,206/250,303;404,101;202;505,9,13,14,2,6
labeled_positive_mean_gt_0.901000,labeled_positive_mean,gt,0.901000,206,250,206/250,303;404,101;202;505,9,13,14,2,6
labeled_negative_mean_le_0.106500,labeled_negative_mean,le,0.106500,206,250,206/250,303;404,101;202;505,9,13,14,2,6
score_gap_labeled_pos_neg_gt_0.794500,score_gap_labeled_pos_neg,gt,0.794500,206,250,206/250,303;404,101;202;505,9,13,14,2,6
selected_unlabeled_le_47.000000,selected_unlabeled,le,47.000000,205,250,205/250,202;303;404;505,101,8,12,13,3,7
classifier_score_mean_gt_0.626500,classifier_score_mean,gt,0.626500,205,250,205/250,202;303;404;505,101,8,12,13,3,7
labeled_positive_min_gt_0.819500,labeled_positive_min,gt,0.819500,205,250,205/250,404,101;202;303;505,8,12,13,3,7
estimated_mass_ratio_gt_0.966600,estimated_mass_ratio,gt,0.966600,205,250,205/250,202;303;404;505,101,8,12,13,3,7
estimated_mass_minus_selected_gt_-1.635070,estimated_mass_minus_selected,gt,-1.635070,205,250,205/250,202;303;404;505,101,8,12,13,3,7
selected_unlabeled_le_44.500000,selected_unlabeled,le,44.500000,204,250,204/250,202;404;505,101;303,7,11,12,4,8
count_ge_pos_min_le_12.500000,count_ge_pos_min,le,12.500000,202,250,202/250,202;404,101;303;505,5,9,10,6,10
count_ge_pos_min_ratio_le_0.266698,count_ge_pos_min_ratio,le,0.266698,202,250,202/250,202;404,101;303;505,5,9,10,6,10
estimated_positive_mass_gt_51.514451,estimated_positive_mass,gt,51.514451,200,250,200/250,303;505,101;202;404,3,7,8,8,12
classifier_score_mean_gt_0.676500,classifier_score_mean,gt,0.676500,200,250,200/250,303;505,101;202;404,3,7,8,8,12
estimated_mass_ratio_gt_1.170783,estimated_mass_ratio,gt,1.170783,200,250,200/250,303;505,101;202;404,3,7,8,8,12
estimated_mass_minus_selected_gt_7.514451,estimated_mass_minus_selected,gt,7.514451,200,250,200/250,303;505,101;202;404,3,7,8,8,12
count_ge_pos_min_ratio_gt_0.319728,count_ge_pos_min_ratio,gt,0.319728,200,250,200/250,303;505,101;202;404,3,7,8,8,12
count_ge_pos_min_gt_17.000000,count_ge_pos_min,gt,17.000000,199,250,199/250,505,101;202;303;404,2,6,7,9,13
labeled_positive_p10_le_0.800952,labeled_positive_p10,le,0.800952,199,250,199/250,505,101;202;303;404,2,6,7,9,13
classifier_score_mean_gt_0.707000,classifier_score_mean,gt,0.707000,199,250,199/250,505,101;202;303;404,2,6,7,9,13
labeled_positive_min_le_0.763000,labeled_positive_min,le,0.763000,199,250,199/250,505,101;202;303;404,2,6,7,9,13
count_ge_pos_min_ratio_gt_0.382576,count_ge_pos_min_ratio,gt,0.382576,199,250,199/250,505,101;202;303;404,2,6,7,9,13
estimated_positive_mass_gt_54.838349,estimated_positive_mass,gt,54.838349,198,250,198/250,303,101;202;404;505,1,5,6,10,14
labeled_positive_p10_gt_0.855482,labeled_positive_p10,gt,0.855482,198,250,198/250,303,101;202;404;505,1,5,6,10,14
labeled_positive_mean_gt_0.913000,labeled_positive_mean,gt,0.913000,198,250,198/250,303,101;202;404;505,1,5,6,10,14
labeled_negative_mean_le_0.094500,labeled_negative_mean,le,0.094500,198,250,198/250,303,101;202;404;505,1,5,6,10,14
estimated_mass_ratio_gt_1.232146,estimated_mass_ratio,gt,1.232146,198,250,198/250,303,101;202;404;505,1,5,6,10,14
estimated_mass_minus_selected_gt_10.338349,estimated_mass_minus_selected,gt,10.338349,198,250,198/250,303,101;202;404;505,1,5,6,10,14
score_gap_labeled_pos_neg_gt_0.818500,score_gap_labeled_pos_neg,gt,0.818500,198,250,198/250,303,101;202;404;505,1,5,6,10,14
always_v02,,always_v02,,197,250,197/250,,101;202;303;404;505,0,4,5,11,15
estimated_positive_mass_gt_44.864930,estimated_positive_mass,gt,44.864930,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
count_ge_pos_min_gt_8.500000,count_ge_pos_min,gt,8.500000,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
labeled_positive_p10_le_0.813923,labeled_positive_p10,le,0.813923,196,250,196/250,202;505,101;303;404,-1,3,4,12,16
labeled_positive_min_le_0.775500,labeled_positive_min,le,0.775500,196,250,196/250,202;505,101;303;404,-1,3,4,12,16
labeled_positive_mean_gt_0.879000,labeled_positive_mean,gt,0.879000,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
labeled_negative_mean_le_0.121500,labeled_negative_mean,le,0.121500,196,250,196/250,101;303;404;505,202,-1,3,4,12,16
