selector_mode,heldout_split,gate_label,feature_1,direction_1,threshold_1,feature_2,direction_2,threshold_2,operator,train_episodes,train_positive_successes,train_cau_successes,train_routed_successes,train_delta_vs_positive,train_delta_vs_cau,train_gains_vs_positive,train_losses_vs_positive,train_opened_episodes,test_episodes,test_positive_successes,test_cau_successes,test_routed_successes,test_delta_vs_positive,test_delta_vs_cau,test_gains_vs_positive,test_losses_vs_positive,test_opened_episodes
safe_zero_loss,pooled_resubstitution,two_feature,initial_anchor_pos_dist_mean,le,1.788770,initial_anchor_margin_mean,gt,0.799296,and,370,269,296,285,16,-11,16,0,35,370,269,296,285,16,-11,16,0,35
safe_zero_loss,101,two_feature,initial_anchor_neg_dist_mean,gt,1.874664,initial_anchor_margin_mean,le,-0.082744,and,320,250,263,263,13,0,13,0,67,50,19,33,20,1,-13,1,0,10
safe_zero_loss,202,two_feature,initial_anchor_neg_dist_mean,gt,1.488679,initial_anchor_margin_mean,le,-0.148144,and,320,229,254,246,17,-8,17,0,104,50,40,42,38,-2,-4,0,2,5
safe_zero_loss,303,two_feature,initial_anchor_neg_dist_mean,gt,2.913545,initial_anchor_margin_mean,gt,0.764402,or,320,233,256,255,22,-1,22,0,70,50,36,40,35,-1,-5,4,5,15
safe_zero_loss,404,two_feature,initial_anchor_pos_dist_mean,le,1.905613,initial_anchor_neg_dist_mean,gt,1.722819,and,320,230,261,251,21,-10,21,0,41,50,39,35,34,-5,-1,1,6,30
safe_zero_loss,505,two_feature,initial_anchor_pos_dist_mean,le,1.835749,initial_anchor_margin_mean,gt,0.799296,and,320,229,253,244,15,-9,15,0,30,50,40,43,41,1,-2,1,0,5
safe_zero_loss,606,two_feature,initial_anchor_neg_dist_mean,gt,1.789299,initial_anchor_margin_mean,le,-0.089249,and,350,253,281,268,15,-13,15,0,85,20,16,15,16,0,1,0,0,2
safe_zero_loss,707,two_feature,initial_anchor_pos_dist_mean,le,1.349273,initial_anchor_margin_mean,gt,0.802912,and,320,233,246,244,11,-2,11,0,25,50,36,50,36,0,-14,0,0,0
safe_zero_loss,808,two_feature,initial_anchor_pos_dist_mean,le,1.940199,initial_anchor_margin_mean,gt,0.655060,and,320,226,258,246,20,-12,20,0,54,50,43,38,43,0,5,0,0,0
best_delta,pooled_resubstitution,one_feature,initial_anchor_neg_dist_mean,gt,1.421888,,,,,370,269,296,303,34,7,60,26,291,370,269,296,303,34,7,60,26,291
best_delta,101,two_feature,initial_anchor_pos_dist_mean,gt,2.206263,initial_anchor_neg_dist_mean,le,2.210326,or,320,250,263,272,22,9,38,16,278,50,19,33,23,4,-10,11,7,40
best_delta,202,two_feature,initial_anchor_pos_dist_mean,gt,2.117641,initial_anchor_margin_mean,gt,0.303079,or,320,229,254,259,30,5,51,21,249,50,40,42,44,4,2,4,0,25
best_delta,303,one_feature,initial_anchor_neg_dist_mean,gt,1.421888,,,,,320,233,256,263,30,7,51,21,251,50,36,40,40,4,0,9,5,40
best_delta,404,two_feature,initial_anchor_pos_dist_mean,gt,2.114375,initial_anchor_margin_mean,gt,0.256112,or,320,230,261,268,38,7,53,15,236,50,39,35,35,-4,0,2,6,45
best_delta,505,two_feature,initial_anchor_pos_dist_mean,gt,2.114375,initial_anchor_margin_mean,gt,0.799296,or,320,229,253,262,33,9,43,10,201,50,40,43,42,2,-1,2,0,20
best_delta,606,two_feature,initial_anchor_pos_dist_mean,gt,2.114375,initial_anchor_margin_mean,gt,0.627487,or,350,253,281,287,34,6,48,14,235,20,16,15,17,1,2,1,0,10
best_delta,707,two_feature,initial_anchor_pos_dist_mean,le,1.905613,initial_anchor_neg_dist_mean,gt,1.406656,and,320,233,246,254,21,8,30,9,105,50,36,50,37,1,-13,1,0,5
best_delta,808,two_feature,initial_anchor_pos_dist_mean,gt,2.153548,initial_anchor_margin_mean,gt,0.206206,or,320,226,258,265,39,7,55,16,241,50,43,38,39,-4,1,1,5,40
