source,seed,weight_mean,hidden_positive_weight_mean,hidden_bad_weight_mean,success_5k,success_10k,success_15k,success_20k,best
classifier probability weighted sampler,0,0.283,0.755,0.163,0.000,0.000,0.600,0.500,0.600
classifier probability weighted sampler,1,0.285,0.761,0.164,0.100,0.400,0.300,0.700,0.700
classifier probability weighted sampler,2,0.280,0.754,0.159,0.100,0.500,0.600,0.400,0.600
classifier probability weighted sampler,mean,0.283,0.757,0.162,0.067,0.300,0.500,0.533,0.633
