split,method,demo_count,step_count,action_l2_mean,action_mse_mean,first_action_l2_mean,first_action_mse_mean,support_margin_mean,support_pos_dist_mean,support_neg_dist_mean,first_support_margin_mean,first_support_pos_dist_mean,first_support_neg_dist_mean,first20_success,checkpoint
101,positive,10,973,0.39341968799082666,0.06512079722666574,0.22675049155950547,0.008286637347191572,2.8925804929698216,0.9459468621541472,3.8385273551239685,0.7382183909416199,1.2478232622146606,1.9860416531562806,7,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_positive_only_nn_policy0/train/can_paired_pos40_bad80_split101_positive_only_nn_policy0_official_bc_rnn/20260625090642/models/model_epoch_200.pth
101,weighted,10,973,0.9286267216693522,0.22870465353441655,0.8884873792529107,0.24170943927019833,2.018168693956207,1.9213027133076799,3.939471407263887,0.6046341240406037,2.0877813398838043,2.692415463924408,12,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_weighted_bc_policy0/train/can_paired_pos40_bad80_split101_weighted_bc_policy0_official_bc_rnn/20260625091630/last.pth
101,triage,10,973,0.35020037363489126,0.05170354704444226,0.2591132324188948,0.013067597002373078,2.917512991703024,0.904876798537432,3.822389790240456,0.8774334549903869,0.9978958547115326,1.8753293097019195,11,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split101_triage_bc_policy0/train/can_paired_pos40_bad80_split101_triage_bc_policy0_official_bc_rnn/20260625204343/models/model_epoch_200.pth
202,positive,10,991,0.353350398867033,0.05505992746879931,0.21521834135055543,0.007294828118756413,3.00453731431984,0.9457514783224235,3.9502887926422634,0.9065529823303222,0.9175544857978821,1.8241074681282043,17,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_positive_only_nn_policy0/train/can_paired_pos40_bad80_split202_positive_only_nn_policy0_official_bc_rnn/20260625093934/models/model_epoch_200.pth
202,weighted,10,991,0.3104987822089619,0.042992647502193754,0.2934689328074455,0.015054167155176401,3.0627045671527204,0.8922709048940585,3.9549754720467787,0.8338859230279922,0.9150105327367782,1.7488964557647706,13,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_weighted_bc_policy0/train_weighted_sampler/can_paired_pos40_bad80_split202_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625094720/models/model_epoch_200.pth
202,triage,10,991,0.3751019591119753,0.06059302051749776,0.3045483037829399,0.02071319760289043,3.0894383129019003,0.9393944459465834,4.028832758848484,0.7319377958774567,1.3513708710670471,2.083308666944504,12,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split202_triage_bc_policy0/train/can_paired_pos40_bad80_split202_triage_bc_policy0_official_bc_rnn/20260625211012/models/model_epoch_200.pth
303,positive,10,1023,0.34864010225220393,0.04991777429389084,0.17979696467518808,0.00518203906249255,3.14820300599682,0.8727447673260609,4.020947773322881,1.1564060121774673,0.83109430372715,1.9875003159046174,15,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_positive_only_nn_policy0/train/can_paired_pos40_bad80_split303_positive_only_nn_policy0_official_bc_rnn/20260625100601/models/model_epoch_200.pth
303,weighted,10,1023,0.36136923819317873,0.05524666549476129,0.3062987126410007,0.016105742123909295,3.0183581470329073,0.9908524573406327,4.00921060437354,1.1554343283176423,1.000162822008133,2.155597150325775,10,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_weighted_bc_policy0/train_weighted_sampler/can_paired_pos40_bad80_split303_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625101359/models/model_epoch_200.pth
303,triage,10,1023,0.30692727530542635,0.040752220281406876,0.46308453679084777,0.031811327859759334,2.949538097899651,1.0521281791903148,4.001666277089965,0.8875194311141967,1.2567924439907074,2.144311875104904,13,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split303_triage_bc_policy0/train/can_paired_pos40_bad80_split303_triage_bc_policy0_official_bc_rnn/20260625212246/models/model_epoch_200.pth
404,positive,10,1093,0.34864354370654393,0.05029768434114894,0.18621898591518402,0.005388554523233324,3.0988026605506915,0.8797515436875082,3.9785542042381996,1.2914490193128585,0.8415722370147705,2.133021256327629,17,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_positive_only_nn_policy0/train/can_paired_pos40_bad80_split404_positive_only_nn_policy0_official_bc_rnn/20260625141435/models/model_epoch_200.pth
404,weighted,10,1093,0.3525505266105458,0.052100551586317115,0.19104194231331348,0.006647558158147149,3.1102444388433894,0.895190260447232,4.005434699290622,1.2853445380926132,0.8997378438711167,2.18508238196373,13,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_weighted_bc_policy0/train/can_paired_pos40_bad80_split404_weighted_bc_policy0_official_bc_rnn/20260625143118/models/model_epoch_200.pth
404,triage,10,1093,0.4053471293879804,0.06759147838249178,0.23581387028098105,0.010540459404001012,3.119349340158226,0.8706038185452993,3.9899531587035253,1.1530589789152146,1.038681611418724,2.1917405903339384,14,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split404_triage_bc_policy0/train/can_paired_pos40_bad80_split404_triage_bc_policy0_official_bc_rnn/20260625213341/models/model_epoch_200.pth
505,positive,10,1032,0.34836004693656725,0.049564227915274664,0.17531607002019883,0.005485223175492137,3.2460917902884083,0.8707918352055772,4.116883625493985,1.1402059495449066,0.7481277048587799,1.8883336544036866,15,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_positive_only_nn_policy0/train/can_paired_pos40_bad80_split505_positive_only_nn_policy0_official_bc_rnn/20260625144918/models/model_epoch_200.pth
505,weighted,10,1032,0.3639106287953964,0.054753328618842315,0.2798583637923002,0.013245600079244468,3.2830728857873757,0.8556677250661583,4.138740610853534,1.1228035926818847,0.8260217070579529,1.9488252997398376,12,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_weighted_bc_policy0/train/can_paired_pos40_bad80_split505_weighted_bc_policy0_official_bc_rnn/20260625145704/models/model_epoch_200.pth
505,triage,10,1032,0.36949863747419254,0.05720800461881481,0.3073473282158375,0.015951343218330295,3.1849479988635143,1.0448312657737286,4.229779264637243,0.8217683613300324,1.2881097853183747,2.109878146648407,14,results/final_paper_v02/per_seed/can_paired_pos40_bad80_split505_triage_bc_policy0/train/can_paired_pos40_bad80_split505_triage_bc_policy0_official_bc_rnn/20260625214146/models/model_epoch_200.pth
