split,selected_count,selected_prob_min,selected_prob_p10,selected_prob_p25,selected_prob_mean,unlabeled_prob_mean,selected_min_over_unlabeled_mean,calibrated_tail_threshold,selected_prob_below_calibrated_threshold,selected_prob_below_0p2,selected_prob_below_0p4,anchor_rule,candidate_f_source,positive_first20,weighted_first20,triage_first20,candidate_e_first20,candidate_f_first20,best_baseline_first20,candidate_f_delta_vs_best_baseline,positive_50,weighted_50,triage_50,candidate_e_50,candidate_e_50_source,candidate_f_50,best_baseline_50,candidate_f_50_delta_vs_best_baseline
101,40,0.12530939280986786,0.44982263445854187,0.5760440826416016,0.6660681873559952,0.40560388565063477,0.3089452474274435,0.20280194282531738,2,2,4,weighted if positive-selected classifier tail < 0.5 * unlabeled_prob_mean; else candidate_e,weighted_anchor,7,12,11,7,12,12,0,19,37,28,,missing_router_50,37,37,0
202,40,0.39508602023124695,0.46806007623672485,0.5338691473007202,0.6416880346834659,0.4040004312992096,0.9779346496257563,0.2020002156496048,0,0,1,weighted if positive-selected classifier tail < 0.5 * unlabeled_prob_mean; else candidate_e,candidate_e_gate,17,13,12,17,17,17,0,40,33,36,40,positive_50_no_gate_in_first20,40,40,0
303,40,0.38961076736450195,0.5216072201728821,0.643532395362854,0.7177407532930374,0.4718123972415924,0.8257747563275686,0.2359061986207962,0,0,1,weighted if positive-selected classifier tail < 0.5 * unlabeled_prob_mean; else candidate_e,candidate_e_gate,15,10,13,15,15,15,0,36,25,35,36,positive_50_no_gate_in_first20,36,36,0
404,40,0.30616748332977295,0.4172179400920868,0.5365180969238281,0.6629483625292778,0.442619651556015,0.6917168775797711,0.2213098257780075,0,0,4,weighted if positive-selected classifier tail < 0.5 * unlabeled_prob_mean; else candidate_e,candidate_e_gate,17,13,14,19,19,17,2,39,33,36,46,candidate_e_initial_posdist_gate_weighted_split404_eval50_isolated_rng,46,39,7
505,40,0.3799091577529907,0.5376781821250916,0.6218774914741516,0.7153110735118389,0.4746829569339752,0.8003429493379371,0.2373414784669876,0,0,1,weighted if positive-selected classifier tail < 0.5 * unlabeled_prob_mean; else candidate_e,candidate_e_gate,15,12,14,16,16,15,1,40,30,36,39,candidate_e_initial_posdist_gate_weighted_split505_eval50_isolated_rng,39,40,-1
total,,,,,,,,,2,2,11,,,71,60,64,74,79,76,3,174,158,171,,mixed observed and no-gate substitution,198,192,6
