mild_tail_fraction_max,can40_candidate,lift_candidate,combined_candidate,combined_best_baseline,delta_vs_combined_best
0.0,198,145,343,346,-3
0.02,198,150,348,346,2
0.025,198,150,348,346,2
0.026,198,154,352,346,6
0.03,198,154,352,346,6
0.04,198,154,352,346,6
0.05,198,154,352,346,6
0.051,189,153,342,346,-4
0.06,189,153,342,346,-4
