initial_demo_id,positive_margin,positive_pos_dist,positive_neg_dist,weighted_margin,weighted_pos_dist,weighted_neg_dist,candidate_c_margin,candidate_c_pos_dist,candidate_c_neg_dist,weighted_minus_positive_margin,candidate_c_minus_positive_margin,positive_success,weighted_success,candidate_c_success,router_no_bias_success,router_anchor_support_success,oracle_best_count
demo_5,1.531578,1.381806,2.913384,1.413608,1.509669,2.923277,1.518865,1.413584,2.932450,-0.117970,-0.012713,2,0,2,2,2,2
demo_29,0.656503,1.337410,1.993914,0.564819,1.421332,1.986151,0.720095,1.297992,2.018088,-0.091684,0.063592,2,1,1,2,1,2
demo_39,0.119516,3.179260,3.298776,0.176759,3.182634,3.359393,0.114334,3.203799,3.318133,0.057243,-0.005182,0,1,0,0,1,1
demo_45,0.943251,0.930573,1.873824,0.988700,0.921607,1.910308,0.718239,1.179251,1.897490,0.045449,-0.225012,2,1,2,2,2,2
demo_53,-0.418778,2.585953,2.167175,-0.463354,2.638239,2.174886,-0.436955,2.558147,2.121192,-0.044576,-0.018177,2,2,2,2,2,2
demo_81,0.984836,0.804325,1.789160,0.932458,0.961782,1.894240,0.804504,0.976131,1.780634,-0.052378,-0.180332,2,2,2,2,2,2
demo_89,-0.112073,2.585663,2.473590,-0.024754,2.410308,2.385554,-0.151370,2.630941,2.479571,0.087319,-0.039297,2,1,2,2,2,2
demo_99,0.556016,1.250370,1.806386,0.479187,1.363219,1.842406,0.492593,1.273430,1.766023,-0.076829,-0.063423,1,1,1,2,2,2
demo_105,-0.282707,1.835585,1.552878,-0.322729,1.911536,1.588807,-0.386047,1.949695,1.563648,-0.040022,-0.103340,2,2,2,2,2,2
demo_189,0.626989,1.675344,2.302333,0.642123,1.767019,2.409142,0.541887,1.724179,2.266067,0.015134,-0.085102,2,2,2,0,0,2
