split_seed,initial_demo_id,case_type,positive_only_success_count,weighted_success_count,v01_success_count,union_success_count,eval_episodes,positive_only_avg_length,weighted_avg_length,v01_avg_length,union_avg_length,union_minus_positive_successes,union_minus_best_successes
404,demo_5,union_under_best,5,1,5,4,5,86.8,339.2,84.4,148.0,-1,-1
404,demo_29,union_under_best,4,4,4,2,5,163.0,170.6,164.4,287.6,-2,-2
404,demo_39,union_under_best,0,3,1,1,5,400.0,238.4,343.8,399.8,1,-2
404,demo_45,positive_anchor_regression,5,1,3,2,5,91.0,339.4,222.0,277.6,-3,-3
404,demo_53,union_tied_best,5,5,5,5,5,113.4,111.4,116.4,120.4,0,0
404,demo_81,union_rescue,4,5,5,5,5,176.8,121.2,121.6,121.0,1,0
404,demo_89,positive_anchor_regression,4,3,4,0,5,162.0,219.4,163.0,400.0,-4,-4
404,demo_99,positive_anchor_regression,4,2,4,1,5,175.4,286.4,183.6,344.0,-3,-3
404,demo_105,union_under_best,5,5,4,4,5,107.0,111.8,168.2,165.4,-1,-1
404,demo_189,union_under_best,3,4,1,3,5,217.8,151.4,340.6,220.4,0,-1
