method_id,label,kind,train_epochs,eval_episodes,success_count,success_rate,avg_len
positive_only_nn_top40,Positive-only NN top40,baseline,200,20,17,0.850,148.2
weighted_bc_full_pool,Weighted BC full pool,baseline,200,20,13,0.650,211.5
triage_v01_adaptive_masscap,TRIAGE-BC v0.1 hard support,baseline,200,20,14,0.700,195.4
v02_positive_nn_risk_union_top40,v0.2 positive-NN/risk union top40,baseline,200,20,7,0.350,299.6
candidate_a_transition_weighted_e200,Candidate A transition-weighted e200,candidate_a,200,20,12,0.600,222.5
router_labeled_no_bias,"Candidate B router labeled support, no bias",candidate_b,200,20,16,0.800,162.2
router_anchor_support_no_bias,"Candidate B router positive-anchor support, no bias",candidate_b,200,20,16,0.800,164.6
candidate_c_sequence_mask_e100,Candidate C sequence-mask e100,candidate_c,100,20,8,0.400,290.6
candidate_c_sequence_mask_e200,Candidate C sequence-mask e200,candidate_c,200,20,16,0.800,167.7
