split_seed,candidate_id,candidate_tag,train_demo_count,selected_unlabeled,selected_hidden_positive,selected_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,config_path,train_output_dir,eval_output_dir,train_filter_key
101,state_action_positive_nn_top40,sapn40,50,40,16,24,0.400,0.400,0.300,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/sapn40/setup/config.json,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/sapn40/train,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/sapn40/eval_smoke,hn_can_s101_sapn40_seed0_train
101,hybrid_rank_fusion_badaware_heavy_top40,hrfbh40,50,40,36,4,0.900,0.900,0.050,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/hrfbh40/setup/config.json,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/hrfbh40/train,results/final_paper/ablations/hard_negative_can_endpoint_200ep/split101/hrfbh40/eval_smoke,hn_can_s101_hrfbh40_seed0_train
